P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"24,74",2006,9%,"0,63","1,28","0,00","1,01","7,53","3,32","17,83","0,00","1,79",0%,"2,15",13%,7%,10%,"85,00","0,00","0,00%"
"34,53",2007,5%,"0,55","1,44","0,00","0,72","8,40","2,96","24,00","13,63","1,70",14%,"1,88",9%,5%,7%,"115,81","65,78","0,00%"
"10,40",2008,10%,"0,77","1,04","0,00","1,90","10,63","1,86","7,94","5,95","0,95",17%,"1,03",18%,9%,12%,"49,71","37,26","1,36%"
"13,71",2009,15%,"0,34","1,34","0,00","3,06","12,97","3,24","11,55","10,09","2,10",20%,"2,03",24%,15%,19%,"33,11","28,91","0,67%"
"12,66",2010,14%,"0,16","2,37","0,19","3,12","15,51","2,55","10,82","9,61","1,90",19%,"1,83",20%,15%,18%,"32,27","28,65","1,70%"
"14,71",2011,13%,"0,29","1,50","0,17","3,24","17,67","2,70","12,98","11,24","1,77",17%,"1,86",18%,12%,15%,"32,65","28,29","3,23%"
"18,77",2012,13%,"0,17","2,24","0,29","4,16","21,24","3,68","16,26","14,25","2,59",18%,"2,50",20%,14%,17%,"24,61","21,58","1,29%"
"21,57",2013,12%,"0,20","2,02","0,45","4,64","24,86","4,02","19,59","16,84","2,92",16%,"2,63",19%,14%,17%,"23,15","19,89","1,03%"
"17,18",2014,13%,"0,19","2,38","0,65","5,30","28,96","3,14","15,46","13,40","2,31",17%,"2,25",18%,13%,17%,"19,94","17,29","1,33%"
"12,44",2015,13%,"0,20","2,44","0,45","5,35","32,88","2,02","12,93","10,94","1,47",15%,"1,63",16%,12%,13%,"23,30","19,72","1,83%"
"16,56",2016,15%,"0,15","2,88","1,05","6,95","38,35","3,00","16,22","14,14","2,29",17%,"2,44",18%,14%,17%,"16,13","14,05","1,35%"
"20,93",2017,16%,"0,07","4,33","1,57","2,49","14,72","3,54","21,05","18,28","2,90",18%,"3,26",17%,14%,17%,"14,96","12,99","1,07%"
"20,01",2018,12%,"0,22","1,91","0,35","2,14","16,40","2,61","19,29","15,55","1,86",15%,"2,41",13%,9%,10%,"18,53","14,93","0,96%"
"23,22",2019,9%,"0,16","2,01","0,32","1,64","17,80","2,14","23,99","16,75","1,60",13%,"2,12",9%,7%,7%,"25,51","17,81","0,66%"
"20,38",2020,10%,"0,26","1,73","0,46","1,88","18,08","2,12","20,07","14,61","1,47",14%,"2,02",10%,7%,8%,"21,47","15,64","0,65%"
