P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"136,86",2011,0%,"1,15","1,13","0,08","0,07","3,32","2,87","8,31","5,92","0,36",5%,"0,28",2%,0%,6%,"502,11","357,46","0,00%"
"-377,65",2012,0%,"2,01","1,13","0,17","-0,03","3,30","3,68","15,21","9,37","0,40",3%,"0,30",-1%,0%,4%,"722,32","445,10","0,08%"
"11,98",2013,1%,"1,90","1,16","0,31","0,63","3,77","2,00","3,69","2,91","0,29",6%,"0,17",17%,2%,16%,"286,00","225,48","0,00%"
"10,54",2014,1%,"2,27","1,20","0,30","0,73","4,21","1,83","2,81","2,28","0,26",6%,"0,14",17%,2%,19%,"219,18","178,17","2,33%"
"-5,94",2015,-1%,"2,75","1,17","0,39","-2,97","30,26","0,58","1,14","0,83","0,07",5%,"0,04",-10%,-1%,13%,"316,75","231,74","1,08%"
"26,81",2016,1%,"2,61","1,07","0,39","3,96","32,22","3,30","4,02","3,26","0,38",8%,"0,25",12%,1%,24%,"184,89","150,33","0,00%"
"39,10",2017,3%,"0,42","1,27","0,40","2,05","10,88","7,38","17,22","14,83","2,06",9%,"1,28",19%,5%,31%,"119,58","103,02","1,77%"
"57,61",2018,4%,"0,20","1,19","0,19","3,14","12,08","14,99","31,89","27,71","3,92",8%,"2,21",26%,7%,29%,"98,37","85,47","0,47%"
"83,96",2019,5%,"0,11","1,60","0,59","0,57","4,66","10,25","60,12","43,65","3,92",9%,"3,90",12%,5%,14%,"79,97","58,06","1,01%"
"130,24",2020,4%,"0,11","1,79","0,44","0,51","4,63","14,22","92,69","62,50","6,04",8%,"5,15",11%,5%,11%,"91,10","61,43","0,17%"
