P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"24,62",2010,19%,"0,20","1,92","0,89","0,84","5,22","3,95","17,47","13,29","2,80",35%,"4,71",16%,11%,20%,"8,90","6,77","0,97%"
"23,66",2011,14%,"0,56","1,27","0,20","0,75","5,86","3,02","13,73","9,34","1,73",35%,"3,29",13%,7%,13%,"10,51","7,15","1,13%"
"28,09",2012,17%,"0,72","2,21","0,95","1,21","6,80","5,00","17,12","11,99","2,58",41%,"4,89",18%,9%,18%,"6,96","4,87","0,53%"
"24,16",2013,20%,"0,62","1,26","0,10","1,37","7,98","4,14","14,80","9,99","2,33",48%,"4,76",17%,10%,16%,"6,81","4,60","1,48%"
"18,36",2014,8%,"0,70","1,92","0,87","0,52","8,35","1,14","7,62","3,71","0,64",41%,"1,53",6%,3%,9%,"11,82","5,76","2,41%"
"-3,45",2015,-17%,"0,64","2,00","1,06","-0,77","7,65","0,35","-5,23","3,22","0,20",18%,"0,58",-10%,-6%,-5%,"-26,80","16,48","0,00%"
"-6,87",2016,-25%,"0,45","2,45","1,71","-0,57","5,68","0,69","-5,82","-2,48","0,45",-70%,"1,73",-10%,-7%,-10%,"-12,27","-5,22","0,00%"
"-5,28",2017,-47%,"0,35","1,41","0,79","-0,78","4,82","0,86","-3,85","-16,73","0,59",-15%,"2,49",-16%,-11%,-17%,"-7,95","-34,58","0,00%"
"-7,99",2018,-31%,"0,24","1,26","0,73","-0,54","4,27","1,00","-5,96","2.773,09","0,74",0%,"2,47",-13%,-9%,-14%,"-11,00","5.115,62","0,00%"
"-59,82",2019,-10%,"0,14","1,76","0,71","-0,17","4,40","2,38","-62,67","22,07","1,91",27%,"6,00",-4%,-3%,-3%,"-32,22","11,35","0,00%"
"-36,84",2020,-7%,"0,22","2,52","1,44","-0,14","4,38","1,17","-44,47","9,20","0,88",28%,"2,61",-3%,-2%,-2%,"-45,63","9,44","0,00%"
