P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"35,34",2007,3%,"1,59","2,22","0,00","0,43","6,40","2,38","9,40","0,00","0,72",0%,"0,93",7%,2%,8%,"33,77","0,00","1,18%"
"-80,17",2008,0%,"1,57","1,56","0,00","-0,09","10,28","0,73","2,76","2,27","0,22",14%,"0,32",-1%,0%,9%,"18,51","15,17","0,00%"
"9,64",2009,7%,"1,23","2,20","0,00","1,98","12,12","1,58","12,15","8,08","0,58",9%,"0,69",16%,6%,5%,"26,16","17,40","2,56%"
"38,37",2010,1%,"2,41","1,35","0,56","0,40","11,56","1,34","6,13","3,58","0,24",9%,"0,34",3%,1%,5%,"17,02","9,92","0,90%"
"-3,95",2011,-3%,"3,42","1,40","0,52","-2,16","9,89","0,86","2,86","1,66","0,12",8%,"0,13",-22%,-3%,6%,"16,77","9,76","0,12%"
"-17,26",2012,-1%,"2,91","1,33","0,41","-0,49","9,04","0,94","3,46","2,04","0,16",8%,"0,17",-5%,-1%,6%,"15,83","9,32","0,00%"
"-2,32",2013,-4%,"2,92","2,03","0,49","-1,72","5,99","0,67","2,34","1,49","0,12",7%,"0,10",-29%,-5%,6%,"18,39","11,73","0,00%"
"-4,41",2014,-3%,"5,41","1,79","0,57","-1,38","3,98","1,53","2,93","1,90","0,16",8%,"0,15",-35%,-4%,7%,"16,26","10,58","0,00%"
"-6,13",2015,-3%,"14,45","1,82","0,93","-1,04","1,62","3,92","2,55","1,91","0,16",8%,"0,16",-64%,-3%,9%,"12,57","9,42","0,00%"
"-5,07",2016,-11%,"10,17","1,26","0,71","-1,30","2,11","3,13","24,97","12,52","0,17",5%,"0,58",-62%,-3%,1%,"108,81","54,58","0,00%"
"-10,24",2017,-2%,"4,73","1,62","0,73","-0,71","4,24","1,73","4,09","2,90","0,21",8%,"0,24",-17%,-2%,8%,"15,43","10,96","0,00%"
"1,57",2018,7%,"3,80","1,36","0,83","3,47","6,46","0,85","8,02","3,15","0,13",4%,"0,11",54%,8%,2%,"40,55","15,95","0,00%"
"4,48",2019,3%,"12,52","1,36","0,79","2,23","2,50","3,99","2,08","1,54","0,22",9%,"0,15",89%,5%,17%,"6,72","4,98","0,00%"
"6,65",2020,3%,"48,16","1,15","0,62","1,98","0,80","16,35","2,39","1,82","0,27",10%,"0,18",246%,4%,16%,"7,43","5,67","0,00%"
