P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"5,22",2008,23%,"0,26","3,54","0,00","1,88","12,04","0,81","5,16","4,95","0,50",24%,"1,20",16%,10%,10%,"30,69","29,48","0,82%"
"17,96",2009,23%,"0,31","2,65","0,00","0,79","5,23","2,70","17,49","16,90","1,56",24%,"4,12",15%,9%,9%,"21,34","20,61","2,70%"
"11,16",2010,22%,"0,64","2,52","0,47","1,40","6,33","2,47","11,24","11,02","1,11",23%,"2,49",22%,10%,12%,"12,79","12,53","2,11%"
"6,28",2011,20%,"0,73","2,27","0,35","1,70","7,65","1,40","5,74","5,63","0,56",23%,"1,28",22%,9%,11%,"10,34","10,13","1,68%"
"9,93",2012,14%,"0,90","1,90","0,42","1,21","8,56","1,40","8,91","8,54","0,51",16%,"1,34",14%,5%,7%,"15,04","14,42","3,17%"
"8,86",2013,12%,"0,69","2,29","0,56","0,95","9,21","0,91","8,52","7,91","0,39",13%,"1,03",10%,4%,5%,"19,38","18,01","3,08%"
"4,45",2014,18%,"0,54","2,07","0,40","1,68","10,48","0,72","4,75","4,52","0,31",18%,"0,80",16%,7%,8%,"12,47","11,86","4,00%"
"6,42",2015,13%,"0,45","2,24","0,52","1,35","11,44","0,76","7,67","7,15","0,34",11%,"0,80",12%,5%,5%,"16,33","15,22","4,49%"
"8,45",2016,14%,"0,43","2,44","0,60","1,29","12,24","0,89","10,66","9,79","0,39",12%,"1,14",11%,5%,4%,"17,64","16,20","3,20%"
"9,54",2017,15%,"0,60","2,56","0,22","1,58","13,05","1,15","10,01","9,33","0,46",15%,"1,40",12%,5%,5%,"15,37","14,32","4,26%"
"7,24",2018,14%,"0,59","2,98","0,30","1,71","10,97","1,13","7,40","6,81","0,40",15%,"1,01",16%,6%,6%,"12,89","11,87","8,33%"
"12,80",2019,12%,"0,63","2,78","0,24","1,68","11,50","1,87","12,92","11,56","0,65",14%,"1,58",15%,5%,5%,"13,52","12,10","1,72%"
"10,96",2020,11%,"0,72","2,49","0,31","1,52","12,83","1,30","11,09","10,07","0,46",12%,"1,23",12%,4%,5%,"15,85","14,39","0,00%"
