P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"6,35",2008,12%,"0,24","1,82","0,57","3,07","13,21","1,48","3,73","3,56","0,89",22%,"0,78",23%,14%,30%,"2,87","2,74","3,18%"
"10,94",2009,13%,"0,24","4,68","2,18","2,46","14,75","1,82","10,51","7,94","1,20",18%,"1,40",17%,11%,16%,"5,06","3,83","3,35%"
"12,23",2010,11%,"0,38","6,18","3,36","2,15","15,98","1,65","9,88","7,98","1,00",16%,"1,29",13%,8%,16%,"4,60","3,71","3,73%"
"0,00",2011,9%,"0,52","2,60","1,33","18.000,00","166.000,00","0,00","0,00","0,00","0,00",13%,"0,00",11%,6%,11%,"7,13","5,06","3,30%"
"8,54",2012,11%,"0,28","2,60","1,21","2,46","18,23","1,15","7,89","6,58","0,79",14%,"0,92",13%,9%,15%,"4,63","3,87","5,00%"
"7,75",2013,9%,"0,71","7,31","4,53","2,36","18,74","0,97","6,85","5,56","0,51",13%,"0,72",13%,7%,14%,"4,63","3,76","5,75%"
"6,71",2014,8%,"0,96","7,04","4,58","2,05","19,66","0,70","7,07","5,19","0,33",11%,"0,57",10%,5%,10%,"6,92","5,09","7,64%"
"4,51",2015,8%,"0,91","2,11","1,35","1,86","22,11","0,38","6,98","4,08","0,18",9%,"0,35",8%,4%,5%,"11,77","6,89","6,55%"
"6,16",2016,7%,"0,37","2,34","1,11","1,64","23,09","0,44","23,12","8,75","0,29",5%,"0,42",7%,5%,2%,"30,88","11,69","0,00%"
"11,35",2017,5%,"0,12","4,36","1,48","1,42","23,97","0,67","18,45","9,35","0,54",7%,"0,61",6%,5%,4%,"14,69","7,45","3,41%"
"7,96",2018,6%,"0,09","4,87","1,51","1,86","25,17","0,59","7,96","5,48","0,49",9%,"0,50",7%,6%,8%,"6,79","4,68","0,00%"
"11,30",2019,7%,"0,16","3,84","1,56","2,08","26,38","0,89","11,92","7,65","0,70",10%,"0,75",8%,6%,8%,"5,69","3,65","0,00%"
"10,69",2020,5%,"0,23","2,93","0,94","1,64","26,38","0,67","6,97","4,76","0,48",11%,"0,55",6%,5%,9%,"5,72","3,90","0,00%"
