P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"35,24",2009,34%,0.10,2.58,2.10,"0,92","15,71","2,07","21,62","19,13","1,59",63%,"12,06",6%,4%,10%,"46,35","41,02","0,43%"
"28,87",2010,38%,0.14,2.02,1.56,"1,28","16,55","2,23","21,61","18,88","1,66",58%,"10,95",8%,6%,10%,"41,30","36,09","0,92%"
"22,12",2011,46%,0.27,2.58,1.47,"1,73","17,95","2,13","17,32","15,06","1,46",67%,"10,14",10%,7%,10%,"33,67","29,29","2,98%"
"27,66",2012,41%,0.56,1.55,0.72,"2,18","17,89","3,37","19,94","17,52","1,90",64%,"11,23",12%,7%,11%,"26,67","23,43","1,61%"
"33,15",2013,29%,0.55,1.64,0.69,"1,51","20,10","2,48","19,47","15,56","1,48",63%,"9,74",7%,4%,8%,"30,35","24,26","2,10%"
"24,36",2014,33%,0.52,1.77,0.66,"1,95","21,42","2,22","14,31","11,45","1,35",71%,"8,10",9%,6%,10%,"23,52","18,83","1,73%"
"19,89",2015,34%,0.52,1.46,0.69,"1,91","22,04","1,72","11,50","9,24","1,03",73%,"6,78",9%,5%,10%,"23,61","18,97","3,45%"
"36,04",2016,28%,0.65,1.25,0.65,"1,65","23,45","2,53","17,25","13,91","1,42",73%,"10,17",7%,4%,9%,"23,61","19,04","0,84%"
"38,48",2017,32%,0.53,1.86,1.28,"1,84","25,97","2,73","22,32","17,36","1,64",71%,"12,28",7%,4%,8%,"23,37","18,17","1,71%"
"30,88",2018,38%,0.53,1.79,1.20,"0,79","8,91","2,73","19,79","15,55","1,65",76%,"11,88",9%,5%,9%,"20,30","15,95","4,85%"
"42,22",2019,36%,0.55,1.42,0.98,"0,78","9,31","3,56","28,21","21,50","2,08",71%,"15,24",8%,5%,8%,"21,59","16,45","1,39%"
"23,23",2020,42%,0.58,1.33,1.02,"0,93","9,67","2,22","15,91","12,43","1,24",79%,"9,76",10%,5%,9%,"18,76","14,66","2,14%"
