P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-6,53",1998,-19%,"0,95","0,48","0,00","-5,36","8,76","3,99","-16,61","0,00","1,52",0%,"1,23",-61%,-23%,-10%,"-41,21","0,00","0,00%"
"-25,45",1999,-8%,"1,72","0,48","0,00","-1,89","6,66","7,21","27,05","0,00","2,00",0%,"2,11",-28%,-8%,8%,"50,68","0,00","0,00%"
"45,12",2000,3%,"1,96","0,86","0,00","0,70","6,17","5,13","10,46","0,00","1,31",0%,"1,38",11%,3%,14%,"29,89","0,00","0,00%"
"22,85",2001,8%,"1,28","1,05","0,00","1,07","6,62","3,70","7,05","0,00","1,28",0%,"1,78",16%,6%,19%,"25,02","0,00","0,00%"
"-20,93",2002,-6%,"0,85","1,06","0,00","-0,90","5,90","3,20","10,69","0,00","1,26",0%,"1,22",-15%,-6%,13%,"48,00","0,00","19,71%"
"-405,89",2003,-1%,"0,87","1,03","0,00","-0,15","5,67","10,75","31,22","0,00","3,77",0%,"2,41",-3%,-1%,13%,"43,34","0,00","0,00%"
"125,40",2004,5%,"0,94","1,13","0,00","1,95","6,99","35,06","61,52","0,00","10,33",0%,"5,94",28%,8%,19%,"21,68","0,00","0,00%"
"9,47",2005,5%,"0,77","1,33","0,00","1,37","4,32","3,00","4,37","3,75","1,03",12%,"0,46",32%,11%,26%,"14,55","12,46","48,15%"
"13,98",2006,5%,"0,83","1,47","0,00","1,11","4,98","3,11","7,17","5,87","1,19",11%,"0,66",22%,9%,18%,"20,37","16,67","3,55%"
"30,93",2007,6%,"0,90","1,50","0,00","1,39","5,82","7,38","18,02","14,58","2,66",12%,"1,78",24%,9%,16%,"18,91","15,30","1,02%"
"1,93",2008,12%,"0,78","1,26","0,00","4,53","9,32","0,94","1,79","1,55","0,37",15%,"0,23",49%,19%,22%,"10,64","9,21","6,40%"
"21,56",2009,4%,"1,35","1,27","0,00","1,18","10,16","2,50","12,71","8,69","0,87",11%,"0,92",12%,4%,7%,"29,18","19,95","6,56%"
"13,77",2010,7%,"0,94","1,73","0,59","1,75","8,21","2,93","8,73","7,32","1,10",14%,"1,03",21%,8%,16%,"9,66","8,10","1,78%"
"10,62",2011,8%,"0,93","1,13","0,32","2,38","9,70","2,60","6,65","5,81","0,96",14%,"0,82",25%,9%,19%,"7,36","6,43","2,73%"
"24,17",2012,2%,"2,75","1,19","0,28","1,13","11,52","2,37","9,27","5,63","0,45",8%,"0,45",10%,2%,6%,"16,55","10,05","3,36%"
"11,62",2013,3%,"1,92","1,21","0,36","2,25","15,27","1,71","5,45","3,72","0,41",11%,"0,40",15%,4%,10%,"9,33","6,36","2,22%"
"9,70",2014,2%,"1,80","1,01","0,32","1,26","16,96","0,72","2,76","1,75","0,18",11%,"0,20",7%,2%,9%,"10,28","6,53","2,46%"
"9,54",2015,2%,"1,39","0,88","0,24","1,29","25,96","0,47","2,59","1,55","0,15",11%,"0,17",5%,2%,7%,"10,66","6,39","2,44%"
"12,15",2016,1%,"1,52","0,94","0,17","0,96","21,26","0,55","2,30","1,39","0,16",12%,"0,16",5%,1%,8%,"9,90","5,97","1,89%"
"39,85",2017,1%,"1,08","1,00","0,18","0,58","18,74","1,23","6,49","4,04","0,41",11%,"0,43",3%,1%,8%,"8,90","5,54","0,35%"
"11,64",2018,3%,"0,88","1,08","0,15","2,05","21,24","1,12","5,11","3,39","0,40",11%,"0,37",10%,3%,10%,"6,34","4,21","3,23%"
"8,48",2019,4%,"0,88","1,30","0,25","2,76","22,74","1,03","5,31","3,28","0,38",11%,"0,36",12%,5%,9%,"6,70","4,14","0,81%"
"5,71",2020,4%,"1,03","1,23","0,31","2,42","27,22","0,51","3,44","2,01","0,18",11%,"0,22",9%,3%,7%,"8,56","5,00","1,38%"
