P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"21,33",2004,17%,"0,31","1,47","0,00","3,63","5,14","15,07","16,55","0,00","6,47",0%,"3,71",71%,30%,42%,"88,82","0,00","1,33%"
"21,99",2005,17%,"0,36","1,46","0,00","4,68","6,13","16,80","16,80","16,08","6,40",24%,"3,84",76%,29%,43%,"67,78","64,89","2,91%"
"28,02",2006,17%,"0,32","1,35","0,00","1,08","1,50","20,14","21,48","19,69","8,31",24%,"4,68",72%,30%,45%,"58,88","53,98","8,72%"
"15,74",2007,15%,"0,80","1,37","0,00","1,08","1,58","10,75","11,63","10,38","3,72",23%,"2,37",68%,24%,35%,"56,89","50,81","5,35%"
"15,67",2008,14%,"0,69","1,37","0,00","1,21","1,63","11,67","10,75","9,62","3,85",23%,"2,25",74%,25%,39%,"46,98","42,05","5,21%"
"22,77",2009,16%,"0,62","1,28","0,00","1,59","2,65","13,72","17,04","15,49","5,70",24%,"3,66",60%,25%,37%,"39,08","35,53","3,53%"
"27,58",2010,15%,"0,55","1,56","0,47","1,73","2,92","16,35","17,59","16,35","6,38",24%,"4,00",59%,23%,51%,"30,19","28,06","3,15%"
"18,66",2011,15%,"0,95","1,73","0,40","1,94","2,92","12,42","11,81","10,90","4,09",25%,"2,78",67%,22%,47%,"27,22","25,12","4,88%"
"29,20",2012,14%,"1,78","1,40","0,68","2,01","3,04","19,28","18,39","16,66","4,68",24%,"3,97",66%,16%,44%,"26,16","23,70","3,41%"
"20,88",2013,12%,"2,48","1,51","0,56","1,98","2,72","15,20","12,53","11,03","2,84",23%,"2,53",73%,14%,33%,"25,91","22,81","4,79%"
"18,42",2014,10%,"3,47","1,36","0,54","1,73","2,68","11,90","10,01","8,79","1,90",21%,"1,84",65%,10%,28%,"27,41","24,07","5,49%"
"19,25",2015,7%,"5,14","1,32","0,61","1,22","2,50","9,38","8,03","6,76","1,08",19%,"1,28",49%,6%,22%,"30,11","25,32","6,81%"
"32,09",2016,4%,"4,41","1,15","0,55","0,72","2,30","9,99","9,18","7,40","1,18",17%,"1,26",31%,4%,20%,"34,34","27,70","1,87%"
"21,22",2017,7%,"5,71","1,02","0,53","1,56","3,79","8,73","10,49","8,18","0,95",18%,"1,45",41%,4%,14%,"30,01","23,42","0,94%"
"35,28",2018,4%,"3,28","1,41","0,53","1,28","5,97","7,54","15,43","10,51","1,26",14%,"1,45",21%,4%,11%,"32,70","22,28","0,00%"
"84,96",2019,3%,"2,33","1,44","0,56","0,46","3,92","9,87","24,76","13,56","1,85",17%,"2,32",12%,2%,10%,"29,99","16,42","1,34%"
"92,68",2020,3%,"1,92","1,46","0,51","0,44","5,50","7,44","26,54","16,23","1,67",15%,"2,39",8%,2%,8%,"31,34","19,16","0,32%"
