P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"48,45",2006,10%,---,"5,32","0,00","0,71","7,69","4,45","37,92","0,00","3,57",0%,"4,79",9%,7%,10%,"319,01","0,00","0,00%"
"22,00",2007,20%,---,"4,11","0,00","2,00","8,90","4,94","23,38","23,06","3,67",19%,"4,33",22%,17%,16%,"152,86","150,79","2,18%"
"9,98",2008,18%,---,"3,22","0,00","2,30","9,70","2,37","9,98","8,23","1,71",22%,"1,82",24%,17%,18%,"126,50","104,35","2,43%"
"45,70",2009,16%,---,"1,98","0,00","1,40","17,62","3,63","39,90","38,52","2,49",19%,"7,48",8%,5%,6%,"103,34","99,77","6,05%"
"20,28",2010,31%,---,"1,36","0,92","1,24","4,06","6,18","38,28","36,62","4,87",17%,"6,37",30%,24%,15%,"62,11","59,41","1,99%"
"32,19",2011,17%,---,"1,88","1,37","0,83","4,32","6,15","26,11","25,34","4,73",22%,"5,63",19%,15%,23%,"39,61","38,45","2,22%"
"39,05",2012,15%,---,"1,66","1,19","0,27","1,32","8,13","28,50","27,80","5,71",21%,"5,97",21%,15%,26%,"35,60","34,72","5,96%"
"27,78",2013,18%,---,"1,68","1,17","0,35","1,31","7,49","19,85","19,47","4,87",25%,"4,88",27%,18%,33%,"26,92","26,40","3,66%"
"26,52",2014,17%,---,"1,58","1,05","0,37","1,22","8,07","18,90","18,55","4,72",24%,"4,50",30%,18%,33%,"25,72","25,24","4,06%"
"22,48",2015,18%,---,"1,73","1,21","0,42","1,24","7,64","16,15","15,77","4,18",25%,"4,00",34%,19%,36%,"22,66","22,13","4,44%"
"30,85",2016,16%,---,"1,90","1,39","0,41","1,31","9,60","23,65","23,15","4,93",21%,"4,90",31%,16%,31%,"24,41","23,89","2,78%"
"16,80",2017,35%,---,"1,47","1,03","0,95","1,74","9,13","14,68","14,47","6,09",41%,"5,88",54%,36%,62%,"11,98","11,82","3,27%"
"25,54",2018,18%,---,"1,36","0,93","0,54","1,94","7,09","19,12","18,38","4,44",25%,"4,59",28%,17%,33%,"17,95","17,25","2,11%"
"31,45",2019,16%,---,"1,64","1,09","0,54","2,10","8,03","23,22","22,00","5,07",23%,"4,96",26%,16%,32%,"17,60","16,68","1,66%"
"27,92",2020,15%,---,"1,76","1,25","0,50","2,22","6,22","20,57","19,43","3,93",21%,"4,06",22%,14%,30%,"18,71","17,68","1,88%"
