P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-16,26",2009,-9%,0.45,1.13,0.39,"-1,69","16,43","1,67","-15,40","22,69","0,68",7%,"1,52",-10%,-4%,-5%,"-7,59","11,18","0,00%"
"4,69",2010,19%,0.39,1.27,0.61,"3,27","18,80","0,82","3,76","2,63","0,34",34%,"0,90",17%,7%,12%,"2,50","1,75","0,00%"
"6,99",2011,11%,0.77,1.42,0.82,"1,67","17,56","0,67","4,50","2,70","0,22",28%,"0,76",10%,3%,7%,"4,37","2,62","2,57%"
"9,21",2012,7%,2.95,1.24,0.40,"0,99","6,30","1,45","3,46","2,06","0,24",32%,"0,65",16%,3%,8%,"6,79","4,05","16,70%"
"4,34",2013,5%,3.11,1.14,0.19,"0,83","6,41","0,56","1,23","0,68","0,09",34%,"0,23",13%,2%,8%,"7,33","4,05","22,44%"
"-1,78",2014,-16%,1.86,1.16,0.06,"-5,13","22,49","0,41","1,38","0,77","0,08",36%,"0,28",-23%,-4%,6%,"6,88","3,83","0,00%"
"-0,37",2015,-20%,4.16,1.49,0.65,"-6,48","17,45","0,14","0,73","0,25","0,02",28%,"0,07",-37%,-6%,4%,"18,13","6,29","0,00%"
"-0,31",2016,-27%,3.86,0.44,0.13,"-8,62","15,08","0,17","35,60","0,34","0,03",25%,"0,08",-57%,-9%,0%,"758,07","7,25","0,00%"
"-0,45",2017,-28%,-4.03,0.35,0.10,"-8,06","-16,36","-0,22","-1,27","1,09","0,04",12%,"0,13",49%,-10%,-4%,"-22,65","19,45","0,00%"
"0,12",2018,112%,0.72,1.99,0.43,"10,02","9,32","0,13","-0,58","5,66","0,05",2%,"0,14",108%,38%,-9%,"-3,36","32,60","0,00%"
"-0,56",2019,-45%,1.02,1.52,0.19,"-1,53","2,99","0,29","-1,72","1,31","0,07",19%,"0,25",-51%,-13%,-5%,"-7,32","5,59","0,00%"
"-0,35",2020,-81%,2.11,1.68,0.54,"-2,69","1,95","0,48","-1,49","-7,42","0,07",-4%,"0,28",-138%,-22%,-6%,"-6,46","-32,13","0,00%"
