P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"34,70",2007,19%,"0,35","3,69","0,00","0,72","9,63","2,59","22,77","20,75","1,42",32%,"6,60",7%,4%,6%,"3,31","3,02","0,16%"
"7,11",2008,19%,"0,53","2,23","0,00","1,57","11,27","0,99","6,96","6,89","0,50",19%,"1,32",14%,7%,7%,"3,87","3,83","2,06%"
"18,69",2009,18%,"0,51","2,28","0,00","0,93","7,59","2,29","19,49","19,30","1,11",18%,"3,41",12%,6%,6%,"4,45","4,41","3,46%"
"14,23",2010,15%,"0,80","2,74","0,41","0,71","5,39","1,88","13,21","12,84","0,73",17%,"2,15",13%,5%,6%,"3,67","3,57","2,07%"
"9,34",2011,10%,"0,81","2,52","0,32","0,63","5,73","1,03","7,27","6,27","0,38",15%,"0,96",11%,4%,6%,"3,95","3,41","2,88%"
"-2,03",2012,-50%,"1,20","2,33","0,39","-1,63","3,77","0,88","-2,39","-2,64","0,28",-38%,"1,01",-43%,-14%,-13%,"-2,33","-2,57","4,53%"
"-15,76",2013,-3%,"1,01","2,01","0,28","-0,11","4,03","0,45","9,90","7,58","0,14",6%,"0,45",-3%,-1%,2%,"16,74","12,83","0,00%"
"-2,40",2014,-11%,"0,99","1,53","0,21","-0,36","3,82","0,22","6,94","5,14","0,07",5%,"0,27",-9%,-3%,1%,"24,03","17,79","0,00%"
"-0,03",2015,-156%,"1,52","0,74","0,09","-57,75","48,46","0,03","-0,04","-0,05","0,01",-94%,"0,04",-119%,-26%,-21%,"-1,43","-1,78","0,00%"
"-0,01",2016,-2198%,"-0,87","0,47","0,03","-110,36","-69,40","-0,02","-0,01","-0,01","0,01",-1907%,"0,24",159%,-117%,-110%,"-0,61","-0,60","0,00%"
"0,69",2017,35%,"-0,48","0,63","0,06","3,27","-65,62","-0,03","-0,06","-0,06","0,04",-381%,"0,24",-5%,5%,-72%,"-0,77","-0,78","0,00%"
"-0,11",2018,-397%,"-0,40","0,54","0,04","-10,47","-49,57","-0,02","-0,22","-0,25","0,04",-169%,"0,42",21%,-34%,-19%,"-3,74","-4,20","0,00%"
"-0,07",2019,-303%,"-0,34","0,40","0,03","-112,70","-610,34","-0,01","-0,13","-0,13","0,03",-151%,"0,20",18%,-47%,-27%,"-3,47","-3,49","0,00%"
"-0,05",2020,-385%,"-0,33","0,38","0,03","-104,14","-632,16","-0,01","-0,10","-0,10","0,02",-177%,"0,18",16%,-45%,-24%,"-4,18","-4,20","0,00%"
