P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"278,33",1999,6%,1.06,0.81,0.00,"1,65","16,57","27,76","186,42","0,00","8,82",0%,"16,88",10%,3%,5%,"107,86","0,00","0,00%"
"4,98",2000,20%,0.68,1.21,0.00,"9,19","23,22","1,97","3,54","0,00","0,74",0%,"1,00",40%,15%,22%,"20,48","0,00","17,85%"
"5,54",2001,17%,0.65,1.55,0.00,"9,24","26,71","1,92","4,31","0,00","0,74",0%,"0,97",35%,13%,18%,"22,43","0,00","6,59%"
"6,38",2002,11%,0.91,1.31,0.00,"7,27","31,05","1,49","4,69","0,00","0,52",0%,"0,73",23%,8%,12%,"28,02","0,00","7,09%"
"4,28",2003,20%,0.83,1.41,0.00,"17,85","46,50","1,64","2,91","0,00","0,61",0%,"0,88",38%,14%,22%,"10,86","0,00","6,06%"
"5,47",2004,18%,0.58,1.51,0.00,"17,76","58,85","1,65","3,56","0,00","0,72",0%,"0,98",30%,13%,22%,"10,28","0,00","5,38%"
"6,34",2005,19%,0.53,1.42,0.00,"5,87","19,37","1,92","4,10","0,00","0,89",0%,"1,19",30%,14%,23%,"7,92","0,00","11,18%"
"7,61",2006,18%,0.42,1.40,0.00,"6,54","23,94","2,08","5,21","4,22","1,04",33%,"1,38",27%,14%,21%,"7,49","6,06","4,16%"
"15,98",2007,14%,0.32,1.12,0.00,"5,53","27,39","3,23","10,68","8,23","1,68",28%,"2,27",20%,10%,17%,"8,49","6,54","1,54%"
"6,21",2008,15%,0.45,1.02,0.00,"3,68","16,07","1,42","4,10","3,27","0,69",28%,"0,93",23%,11%,18%,"6,82","5,44","2,19%"
"9,69",2009,18%,0.62,1.32,0.00,"3,79","18,36","2,00","7,07","5,34","0,93",33%,"1,76",21%,10%,14%,"8,11","6,13","2,83%"
"9,92",2010,17%,0.38,1.88,0.99,"2,75","23,78","1,15","7,81","5,89","0,68",28%,"1,67",12%,7%,10%,"7,28","5,48","3,63%"
"8,47",2011,14%,0.47,1.78,0.77,"2,54","25,47","0,84","6,34","4,52","0,47",25%,"1,15",10%,6%,8%,"8,43","6,02","4,05%"
"12,15",2012,7%,0.57,1.70,0.70,"1,61","26,48","0,74","8,09","4,78","0,38",19%,"0,90",6%,3%,5%,"13,26","7,84","2,66%"
"9,68",2013,8%,0.77,1.49,0.56,"1,76","26,78","0,64","6,48","3,55","0,30",21%,"0,73",7%,3%,5%,"14,31","7,82","0,00%"
"-5,96",2014,-7%,1.13,1.63,0.83,"-1,68","23,82","0,42","-5,96","14,92","0,16",3%,"0,39",-7%,-3%,-3%,"-25,19","63,02","9,98%"
"-2,48",2015,-11%,1.91,1.52,0.90,"-2,70","19,77","0,34","-6,63","3,44","0,10",8%,"0,27",-14%,-4%,-2%,"-50,20","26,08","0,00%"
"-14,87",2016,-5%,1.53,1.80,0.88,"-1,00","19,38","0,77","11,77","2,98","0,24",23%,"0,69",-5%,-2%,2%,"35,44","8,98","0,00%"
"557,07",2017,0%,1.34,1.89,0.98,"0,03","20,67","0,78","5,56","2,62","0,25",28%,"0,74",0%,0%,5%,"14,58","6,86","0,00%"
"11,08",2018,8%,1.15,1.48,0.60,"2,05","21,74","1,04","4,56","2,73","0,34",31%,"0,85",9%,3%,8%,"8,31","4,97","3,97%"
"9,61",2019,14%,1.17,0.97,0.29,"3,14","22,93","1,32","4,82","2,81","0,43",46%,"1,30",14%,4%,9%,"7,20","4,19","2,12%"
"-21,47",2020,-4%,1.97,1.21,0.62,"-1,00","18,01","1,19","12,83","3,40","0,29",28%,"0,94",-6%,-1%,3%,"29,90","7,93","2,90%"
