P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-533,61",2006,0%,"0,32","3,14","0,00","-0,06","11,13","2,64","38,11","0,00","1,38",0%,"0,62",0%,0%,5%,"27,76","0,00","0,00%"
"36,31",2007,2%,"0,42","3,13","0,00","0,99","12,26","2,94","20,75","0,00","1,41",0%,"0,58",8%,4%,9%,"13,23","0,00","0,39%"
"5,58",2008,1%,"0,42","2,80","0,00","0,95","13,04","0,41","2,56","2,44","0,21",3%,"0,07",7%,4%,10%,"11,36","10,80","1,51%"
"9,76",2009,2%,"0,28","2,55","0,00","1,70","14,68","1,13","5,47","5,25","0,57",4%,"0,21",12%,6%,15%,"7,81","7,51","0,66%"
"14,28",2010,1%,"0,23","2,32","0,03","1,09","15,62","0,99","7,45","6,94","0,48",2%,"0,16",7%,3%,10%,"10,90","10,16","1,68%"
"12,31",2011,1%,"0,26","2,23","0,04","0,87","16,29","0,66","5,58","5,16","0,29",2%,"0,11",5%,2%,8%,"11,96","11,06","1,21%"
"10,72",2012,1%,"0,39","1,88","0,07","1,35","17,53","0,83","5,55","5,11","0,33",2%,"0,12",8%,3%,10%,"9,64","8,88","0,97%"
"28,91",2013,1%,"0,95","1,82","0,08","0,64","17,53","1,06","7,88","7,15","0,34",2%,"0,17",4%,1%,6%,"14,64","13,27","1,07%"
"-6,97",2014,-2%,"0,60","1,72","0,22","-1,29","17,07","0,53","18,12","10,01","0,20",1%,"0,11",-8%,-3%,2%,"44,37","24,52","1,45%"
"-10,20",2015,-1%,"0,79","1,38","0,21","-0,50","16,55","0,31","3,46","2,73","0,09",2%,"0,06",-3%,-1%,4%,"15,60","12,33","0,00%"
"-10,94",2016,-1%,"0,80","1,46","0,18","-0,76","11,69","0,71","7,06","9,46","0,20",1%,"0,13",-6%,-2%,4%,"13,81","18,52","0,00%"
"-5,03",2017,-3%,"1,02","1,04","0,12","-1,48","9,76","0,76","-51,68","28,14","0,22",0%,"0,14",-15%,-4%,-1%,"-110,03","59,90","0,00%"
"-54,07",2018,0%,"0,62","1,38","0,16","-0,07","8,25","0,48","8,69","5,49","0,17",2%,"0,11",-1%,0%,3%,"18,81","11,88","0,00%"
"57,22",2019,0%,"0,67","1,33","0,14","0,11","8,11","0,80","12,92","8,32","0,25",2%,"0,17",1%,0%,3%,"17,57","11,31","0,00%"
"28,48",2020,0%,"0,90","1,25","0,14","0,19","8,12","0,65","8,97","6,09","0,18",2%,"0,13",2%,1%,3%,"17,51","11,88","0,00%"
