P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"6,17",2008,4%,"0,44","1,98","0,58","0,42","4,80","0,54","1,62","1,35","0,22",18%,"0,24",9%,4%,19%,"1,12","0,93","0,00%"
"10,88",2009,8%,"0,28","1,57","0,53","0,61","5,43","1,23","125,42","21,37","0,65",4%,"0,85",11%,6%,1%,"23,82","4,06","0,00%"
"34,02",2010,1%,"0,43","1,60","0,38","0,15","5,55","0,90","63,96","15,15","0,43",3%,"0,50",3%,1%,1%,"30,64","7,26","0,00%"
"-20,03",2011,-1%,"0,42","1,35","0,42","-0,15","5,20","0,57","-20,47","23,26","0,25",1%,"0,23",-3%,-1%,-3%,"-11,15","12,67","7,46%"
"-7,69",2012,-5%,"0,55","1,10","0,27","-0,65","4,58","1,08","-7,54","-12,07","0,38",-3%,"0,39",-14%,-5%,-11%,"-3,70","-5,92","0,00%"
"237,56",2013,0%,"0,81","1,15","0,17","0,02","4,31","1,21","10,33","6,27","0,38",5%,"0,30",1%,0%,7%,"8,16","4,95","0,00%"
"6,36",2014,3%,"1,11","1,04","0,33","0,39","3,77","0,65","6,21","3,19","0,16",5%,"0,17",10%,2%,6%,"7,42","3,81","0,00%"
"5,16",2015,3%,"5,67","0,91","0,17","0,43","1,08","2,04","4,88","2,64","0,13",5%,"0,13",40%,3%,6%,"13,24","7,18","0,00%"
"-1,31",2016,-8%,"7,18","0,63","0,08","-1,16","0,81","1,89","-14,70","4,48","0,14",2%,"0,11",-144%,-10%,-1%,"-66,70","20,31","5,26%"
"-8,17",2017,-4%,"2,17","1,88","0,29","-0,19","1,29","1,23","-3,22","-5,10","0,26",-6%,"0,31",-15%,-3%,-11%,"-6,26","-9,92","0,00%"
"-2,99",2018,-7%,"3,57","1,52","0,13","-0,47","0,87","1,61","-14,69","11,72","0,21",2%,"0,20",-54%,-7%,-2%,"-37,71","30,09","0,00%"
"-50,50",2019,0%,"3,56","1,17","0,10","-0,58","14,31","2,03","10,35","4,60","0,33",5%,"0,24",-4%,-1%,4%,"21,86","9,71","0,00%"
"-1,04",2020,-12%,"44,49","0,48","0,03","-12,76","1,45","9,14","7,20","2,50","0,14",5%,"0,12",-879%,-14%,2%,"40,89","14,20","0,00%"
