P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"12,76",2010,3%,0.12,1.75,0.12,"7,21","37,79","2,43","8,26","8,26","1,12",4%,"0,35",19%,9%,23%,"63,72","63,69","0,83%"
"13,23",2011,3%,0.11,1.69,0.17,"8,30","43,47","2,53","8,82","9,14","1,14",4%,"0,37",19%,9%,22%,"56,78","58,85","0,79%"
"26,11",2012,3%,0.14,1.76,0.12,"10,72","50,98","5,49","18,28","18,69","2,56",4%,"0,84",21%,10%,22%,"46,52","47,57","0,00%"
"17,79",2013,3%,0.24,1.68,0.07,"12,48","60,42","3,67","13,00","12,84","1,69",5%,"0,58",21%,10%,19%,"42,29","41,78","0,11%"
"19,25",2014,3%,0.41,1.76,0.08,"11,17","68,13","3,16","12,75","12,76","1,37",4%,"0,52",16%,7%,15%,"43,55","43,60","0,17%"
"28,17",2015,2%,0.32,1.71,0.05,"10,30","75,36","3,85","15,57","15,87","1,74",4%,"0,67",14%,6%,16%,"39,34","40,07","0,06%"
"55,45",2016,3%,0.23,1.59,0.06,"12,06","83,57","8,01","33,15","33,41","3,72",4%,"1,43",14%,7%,17%,"36,06","36,34","0,00%"
"29,41",2017,3%,0.37,1.75,0.14,"13,60","93,44","4,28","19,20","19,47","1,92",4%,"0,81",15%,7%,15%,"35,28","35,79","0,56%"
"18,29",2018,3%,0.30,1.55,0.08,"16,95","101,94","3,04","12,57","12,65","1,41",5%,"0,58",17%,8%,16%,"29,93","30,12","1,41%"
"34,10",2019,3%,0.96,1.70,0.14,"17,27","116,03","5,08","22,17","21,70","1,82",5%,"0,98",15%,5%,11%,"30,71","30,06","0,47%"
"41,55",2020,3%,1.16,1.58,0.23,"0,58","3,94","6,15","26,47","25,91","2,07",5%,"1,18",15%,5%,11%,"30,09","29,45","11,39%"
