P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"9,94",2000,2%,"0,98","1,49","0,00","0,23","2,46","0,93","3,63","0,00","0,32",0%,"0,23",9%,3%,10%,"57,89","0,00","4,35%"
"4,92",2001,5%,"1,70","1,34","0,00","0,66","2,64","1,23","2,44","0,00","0,32",0%,"0,25",25%,6%,15%,"29,19","0,00","0,00%"
"7,81",2002,4%,"1,30","1,68","0,00","0,54","3,10","1,37","2,24","0,00","0,45",0%,"0,32",18%,6%,22%,"15,33","0,00","4,48%"
"6,20",2003,7%,"1,07","1,53","0,00","0,77","3,44","1,39","6,92","0,00","0,50",0%,"0,42",22%,8%,8%,"41,36","0,00","7,50%"
"8,35",2004,6%,"0,89","1,72","0,00","0,82","3,86","1,77","6,99","0,00","0,65",0%,"0,48",21%,8%,10%,"29,09","0,00","4,97%"
"7,14",2005,5%,"0,96","2,10","0,00","0,82","4,22","1,38","8,12","6,01","0,50",6%,"0,38",19%,7%,7%,"40,82","30,23","6,53%"
"10,40",2006,7%,"0,97","2,06","0,00","0,57","2,43","2,45","9,93","8,17","0,92",9%,"0,76",24%,9%,10%,"24,90","20,49","3,87%"
"11,43",2007,7%,"1,48","1,65","0,00","0,63","2,68","2,68","11,34","9,24","0,79",8%,"0,76",24%,7%,8%,"26,07","21,24","4,58%"
"4,91",2008,6%,"1,70","1,53","0,00","0,65","3,12","1,02","3,13","2,58","0,29",11%,"0,28",21%,6%,10%,"17,66","14,60","7,57%"
"10,41",2009,7%,"1,71","1,96","0,00","0,65","3,27","2,06","10,34","8,41","0,61",9%,"0,73",20%,6%,6%,"27,85","22,64","4,74%"
"10,53",2010,10%,"1,41","2,10","0,77","0,66","2,16","3,24","8,57","7,83","1,03",13%,"1,05",31%,10%,18%,"9,47","8,66","5,58%"
"9,20",2011,10%,"1,27","1,74","0,69","0,77","2,62","2,70","7,39","6,82","0,94",14%,"0,94",29%,10%,20%,"7,93","7,31","5,36%"
"19,04",2012,8%,"1,02","1,49","0,35","0,68","2,93","4,40","14,71","13,11","1,64",12%,"1,51",23%,9%,15%,"9,24","8,24","2,64%"
"15,49",2013,8%,"1,20","2,39","0,73","0,33","1,72","2,97","11,50","10,46","1,11",12%,"1,24",19%,7%,13%,"9,80","8,92","2,35%"
"13,17",2014,7%,"1,26","2,59","0,86","0,25","1,88","1,77","11,14","9,67","0,67",9%,"0,87",13%,5%,8%,"15,19","13,18","4,80%"
"18,11",2015,3%,"1,33","1,88","0,83","0,10","2,09","0,89","9,87","7,76","0,33",8%,"0,60",5%,2%,5%,"23,77","18,68","3,78%"
"11,32",2016,9%,"1,23","1,84","0,87","0,24","2,02","1,36","8,31","7,17","0,51",14%,"0,98",12%,5%,9%,"12,04","10,38","4,74%"
"45,02",2017,3%,"1,01","1,74","0,71","0,09","2,08","1,91","49,89","30,84","0,78",4%,"1,28",4%,2%,2%,"48,77","30,16","0,50%"
"19,66",2018,5%,"0,91","1,67","0,52","0,21","2,31","1,77","12,54","10,43","0,73",9%,"0,90",9%,4%,8%,"12,60","10,47","2,70%"
"20,00",2019,5%,"0,76","1,88","0,78","0,22","2,49","1,81","16,91","12,61","0,82",8%,"0,99",9%,4%,7%,"13,66","10,18","1,33%"
"14,18",2020,5%,"0,81","1,71","0,54","0,21","2,61","1,13","9,63","7,79","0,50",8%,"0,64",8%,4%,7%,"13,42","10,86","4,75%"
