P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"16,13",2009,5%,"0,11","1,72","0,00","1,38","7,26","3,08","13,06","11,41","1,43",8%,"0,88",19%,9%,15%,"3,58","3,12","0,00%"
"9,33",2010,4%,"0,59","1,80","0,11","1,05","7,97","1,22","7,24","6,14","0,52",6%,"0,36",13%,6%,9%,"6,66","5,65","5,95%"
"-7,43",2011,-3%,"0,65","1,63","0,20","-0,78","7,19","0,80","-9,57","-22,38","0,32",-1%,"0,24",-11%,-4%,-5%,"-13,55","-31,69","4,50%"
"14,00",2012,1%,"0,75","1,39","0,11","0,36","7,43","0,68","6,89","4,39","0,24",5%,"0,20",5%,2%,5%,"13,01","8,30","0,00%"
"15,45",2013,1%,"0,86","1,50","0,16","0,19","7,49","0,38","3,29","1,98","0,13",5%,"0,10",2%,1%,6%,"11,29","6,78","3,14%"
"7,60",2014,1%,"0,79","1,79","0,29","0,28","7,74","0,28","2,10","1,33","0,10",6%,"0,08",4%,1%,7%,"8,64","5,47","2,34%"
"-1,83",2015,-4%,"1,47","1,41","0,50","-0,93","6,76","0,25","-2,34","30,20","0,08",0%,"0,08",-14%,-4%,-6%,"-12,11","156,46","4,12%"
"22,27",2016,1%,"1,21","1,32","0,45","0,13","6,37","0,44","2,01","3,43","0,13",4%,"0,14",2%,1%,12%,"5,38","9,19","0,00%"
"-5,81",2017,-2%,"1,05","1,29","0,36","-0,54","5,76","0,54","7,00","3,84","0,16",4%,"0,14",-9%,-3%,5%,"15,40","8,45","1,93%"
"98,34",2018,0%,"1,20","1,28","0,35","0,02","5,80","0,39","2,59","1,83","0,11",6%,"0,10",0%,0%,8%,"8,86","6,26","0,00%"
"40,67",2019,1%,"1,33","1,25","0,39","0,25","6,08","1,68","9,04","6,63","0,46",7%,"0,47",4%,1%,9%,"7,16","5,25","0,00%"
"14,87",2020,2%,"0,87","1,49","0,37","0,35","10,08","0,52","5,76","4,28","0,19",6%,"0,24",4%,1%,5%,"9,57","7,11","0,00%"
