P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-51,72",2010,-947%,---,"69,89","69,31","-30,74","575,88","2,76","-38,45","-38,74","2,73",-1264%,"489,61",-5%,-5%,-73%,"-12,41","-12,50","0,00%"
"-10,94",2011,-3378%,---,"4,79","2,51","-51,91","661,03","0,86","-6,56","-6,80","0,62",-5438%,"369,58",-8%,-6%,-13%,"-6,52","-6,75","0,00%"
"-5,03",2012,-4633%,"0,00","5,99","5,54","-0,94","12,39","0,38","-3,46","-3,79","0,33",-6143%,"232,88",-8%,-7%,-12%,"-9,63","-10,56","0,00%"
"-0,12",2013,-55950%,"0,05","3,02","1,91","-7,52","4,89","0,19","-0,10","-0,10","0,15",-64497%,"67,67",-154%,-124%,-198%,"-1,70","-1,72","0,00%"
"-0,14",2014,-207%,"0,14","4,80","2,67","-33,75","20,88","0,22","-0,13","-0,15","0,13",-183%,"0,28",-162%,-95%,-194%,"-4,15","-4,98","0,00%"
"1,48",2015,43%,"0,04","10,58","5,85","1,65","13,86","0,18","1,92","1,08","0,14",59%,"0,64",12%,9%,13%,"51,57","28,87","0,00%"
"1,19",2016,61%,"0,04","9,89","7,23","18,27","63,23","0,34","1,11","0,87","0,27",83%,"0,72",29%,22%,56%,"16,50","12,95","0,00%"
"21,58",2017,9%,"0,14","3,93","2,80","3,79","66,94","1,22","25,69","6,50","0,85",31%,"2,02",6%,4%,7%,"102,87","26,03","0,00%"
"6,42",2018,24%,"0,28","2,81","2,15","15,45","75,43","1,32","7,74","5,35","0,86",29%,"1,56",20%,13%,26%,"25,02","17,31","0,00%"
"7,43",2019,39%,"1,17","0,86","0,41","4,45","13,12","2,52","5,12","3,34","0,86",86%,"2,88",34%,12%,20%,"6,83","4,46","0,00%"
"6,39",2020,43%,"1,33","0,72","0,18","5,14","16,45","2,00","4,59","2,95","0,70",92%,"2,72",31%,11%,17%,"7,31","4,71","0,00%"
