P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"10,41",2009,6%,"4,65","0,72","0,05","0,14","0,16","8,81","5,20","0,00","0,48",0%,"0,60",85%,5%,11%,"16,49","0,00","0,00%"
"9,22",2010,7%,"2,37","0,85","0,05","0,22","0,38","5,38","4,61","0,00","0,57",0%,"0,63",58%,6%,15%,"10,65","0,00","0,00%"
"10,76",2011,4%,"1,47","0,88","0,04","0,16","0,51","3,46","4,18","0,00","0,49",0%,"0,48",32%,5%,14%,"10,83","0,00","0,00%"
"10,77",2012,9%,"1,31","1,11","0,20","0,42","0,80","5,60","6,07","5,36","1,02",19%,"1,01",52%,9%,23%,"6,19","5,46","0,89%"
"8,61",2013,11%,"1,53","1,23","0,16","0,58","1,20","4,15","5,70","5,04","0,88",19%,"0,95",48%,10%,20%,"6,13","5,42","2,01%"
"8,01",2014,10%,"1,89","1,08","0,20","0,60","1,50","3,21","4,78","4,16","0,67",19%,"0,80",40%,8%,18%,"6,11","5,31","3,96%"
"6,05",2015,5%,"3,02","1,46","0,43","0,34","1,46","1,41","2,42","1,96","0,24",16%,"0,31",23%,4%,13%,"8,34","6,75","13,59%"
"107,24",2016,0%,"2,46","1,31","0,26","0,02","1,50","1,35","4,23","2,79","0,26",11%,"0,32",1%,0%,7%,"14,44","9,52","2,46%"
"13,39",2017,6%,"1,80","1,26","0,23","0,41","1,80","3,05","5,84","4,60","0,69",18%,"0,85",23%,5%,14%,"6,95","5,48","1,28%"
"6,09",2018,13%,"1,64","1,39","0,20","0,85","2,28","2,27","3,36","2,86","0,51",27%,"0,78",37%,8%,17%,"4,61","3,92","3,85%"
"60,79",2019,1%,"2,17","1,39","0,45","0,09","2,32","2,32","11,20","6,55","0,46",12%,"0,76",4%,1%,5%,"14,95","8,75","2,79%"
"11,86",2020,5%,"2,28","1,26","0,43","0,33","2,34","1,66","5,76","4,14","0,30",13%,"0,54",14%,3%,7%,"10,63","7,64","0,00%"
