P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-136,14",2011,-5%,0.19,1.63,1.34,"-0,12","7,45","2,25","363,03","53,25","1,53",12%,"6,44",-2%,-1%,1%,"609,80","89,45","0,00%"
"223,47",2012,3%,0.15,0.92,0.47,"0,09","7,56","2,80","69,83","23,12","1,81",26%,"6,07",1%,1%,3%,"93,62","31,00","0,00%"
"-599,85",2013,-1%,0.11,1.30,0.89,"-0,04","7,55","2,98","25,86","14,67","1,85",34%,"5,00",0%,0%,9%,"31,02","17,61","0,00%"
"53,91",2014,9%,0.23,1.96,1.19,"0,52","8,60","3,23","18,68","12,26","2,01",42%,"5,09",6%,4%,14%,"17,95","11,78","0,00%"
"15,95",2015,14%,0.27,1.49,0.85,"0,89","7,27","1,94","9,16","6,02","1,13",37%,"2,24",12%,7%,15%,"17,66","11,60","3,04%"
"12,72",2016,21%,0.30,1.23,0.68,"1,51","7,41","2,60","10,86","19,35","1,50",14%,"2,73",20%,12%,17%,"15,08","26,86","8,83%"
"23,15",2017,19%,0.26,2.54,1.39,"1,34","8,19","3,79","14,71","10,70","2,54",40%,"4,32",16%,11%,22%,"12,11","8,81","4,42%"
"9,17",2018,21%,0.26,0.94,0.47,"1,41","8,31","1,55","5,56","3,73","1,03",51%,"1,89",17%,11%,24%,"11,34","7,61","5,59%"
"26,68",2019,20%,0.93,1.96,1.04,"1,39","5,02","7,39","17,39","10,69","3,12",49%,"5,26",28%,12%,23%,"13,48","8,29","3,53%"
"20,07",2020,18%,0.87,2.12,1.18,"1,30","5,30","4,91","12,91","7,74","2,12",47%,"3,62",24%,11%,22%,"14,04","8,42","2,50%"
