P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"62,10",2011,3%,0.04,2.38,0.44,"0,21","6,66","1,95","49,25","32,67","1,65",6%,"1,85",3%,3%,4%,"412,40","273,56","1,08%"
"71,23",2012,4%,0.08,1.96,0.19,"0,32","6,85","3,37","52,93","37,72","2,28",7%,"2,56",5%,3%,6%,"249,74","177,98","0,52%"
"47,87",2013,2%,0.10,1.87,0.24,"0,31","7,04","2,10","32,55","15,82","1,35",5%,"0,78",4%,3%,6%,"239,59","116,47","0,81%"
"37,43",2014,3%,0.11,1.76,0.22,"0,68","7,46","3,40","27,01","16,81","2,06",7%,"1,13",9%,6%,11%,"116,30","72,35","0,55%"
"34,16",2015,4%,0.11,1.63,0.16,"1,04","8,00","4,44","23,27","16,05","2,52",8%,"1,32",13%,7%,16%,"71,64","49,39","1,55%"
"44,63",2016,4%,0.14,1.57,0.13,"1,37","8,88","6,89","28,64","46,89","3,57",4%,"1,80",15%,8%,19%,"51,10","83,68","0,72%"
"59,01",2017,4%,0.19,1.58,0.11,"1,56","9,84","9,33","38,25","26,83","4,69",9%,"2,30",16%,8%,18%,"45,75","32,09","0,66%"
"36,95",2018,3%,0.24,1.55,0.08,"1,55","10,70","5,34","26,15","16,63","2,57",8%,"1,28",14%,7%,15%,"50,61","32,17","1,10%"
"46,75",2019,4%,0.28,1.41,0.07,"2,39","12,34","9,05","32,96","17,08","3,01",12%,"2,10",19%,6%,12%,"32,85","17,02","0,57%"
"43,86",2020,4%,0.34,1.42,0.12,"2,49","12,58","8,70","29,99","15,88","2,77",12%,"1,95",20%,6%,12%,"30,55","16,17","0,61%"
