P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-27,01",1998,-1%,"0,54","1,34","0,00","-0,01","1,21","0,15","13,51","0,00","0,06",0%,"0,25",-1%,0%,0%,"1.684,02","0,00","0,00%"
"-2,48",1999,-5%,"0,68","1,09","0,00","-0,17","1,13","0,38","1,65","0,00","0,14",0%,"0,13",-15%,-6%,9%,"86,82","0,00","2,33%"
"4,50",2000,3%,"1,09","1,27","0,00","0,11","1,13","0,43","1,50","0,00","0,15",0%,"0,12",9%,3%,11%,"71,98","0,00","0,00%"
"3,15",2001,4%,"0,87","1,46","0,00","0,20","1,19","0,53","1,24","0,00","0,20",0%,"0,14",17%,6%,17%,"45,08","0,00","4,76%"
"4,58",2002,5%,"0,99","1,40","0,00","0,27","1,24","1,01","1,89","0,00","0,32",0%,"0,23",22%,7%,18%,"34,90","0,00","3,20%"
"3,98",2003,10%,"0,78","1,65","0,00","0,72","1,76","1,64","2,91","0,00","0,60",0%,"0,38",41%,15%,22%,"23,35","0,00","1,04%"
"6,11",2004,11%,"0,55","1,73","0,00","1,22","2,67","2,80","4,03","0,00","1,16",0%,"0,69",46%,19%,32%,"12,52","0,00","3,08%"
"6,77",2005,9%,"0,57","1,75","0,00","1,13","3,36","2,28","4,94","4,22","0,98",14%,"0,59",34%,15%,22%,"15,28","13,05","4,05%"
"7,95",2006,10%,"0,38","2,14","0,00","1,21","4,52","2,12","6,10","5,22","1,11",15%,"0,77",27%,14%,20%,"13,96","11,95","2,92%"
"10,92",2007,10%,"0,51","1,73","0,00","1,58","5,42","3,18","8,08","7,02","1,54",16%,"1,09",29%,14%,20%,"10,87","9,44","1,86%"
"3,21",2008,10%,"0,61","2,03","0,00","1,95","6,73","0,93","2,20","1,92","0,45",17%,"0,33",29%,14%,21%,"8,61","7,51","5,26%"
"11,54",2009,9%,"0,72","2,78","0,00","1,35","7,51","2,08","10,26","8,32","0,97",12%,"1,01",18%,8%,10%,"16,97","13,76","2,63%"
"8,44",2010,9%,"0,83","2,46","1,34","1,46","6,71","1,83","6,58","5,56","0,80",14%,"0,80",22%,9%,20%,"7,42","6,28","2,44%"
"5,39",2011,9%,"0,80","2,39","1,04","1,58","7,72","1,10","4,46","3,75","0,51",13%,"0,49",20%,9%,17%,"7,93","6,67","3,05%"
"29,99",2012,3%,"1,00","1,95","0,80","0,42","7,70","1,65","18,21","10,92","0,71",8%,"0,87",5%,2%,6%,"24,01","14,39","1,73%"
"8,99",2013,7%,"1,59","2,63","1,22","1,28","6,81","1,69","6,20","4,91","0,56",13%,"0,65",19%,6%,13%,"9,98","7,91","2,09%"
"5,79",2014,7%,"1,48","2,88","1,46","0,82","5,79","0,82","3,88","2,93","0,29",13%,"0,38",14%,5%,12%,"11,70","8,83","5,66%"
"0,00",2015,0%,"1,95","2,12","1,15","0,00","5,27","0,47","19,43","4,56","0,14",5%,"0,24",0%,0%,1%,"121,92","28,62","1,63%"
"-108,45",2016,0%,"1,29","2,45","1,46","-0,03","5,47","0,63","56,81","-11,94","0,25",-4%,"0,45",-1%,0%,1%,"185,05","-38,88","0,00%"
"23,61",2017,4%,"1,16","1,96","1,04","0,30","5,52","1,30","12,98","8,04","0,50",10%,"0,84",6%,2%,6%,"20,03","12,41","0,56%"
"14,11",2018,5%,"1,39","2,20","1,09","0,66","5,91","1,57","7,33","5,72","0,55",13%,"0,75",11%,4%,12%,"10,03","7,83","1,19%"
"15,34",2019,6%,"1,32","2,49","1,32","0,87","6,29","2,13","8,71","6,95","0,73",13%,"0,91",14%,5%,13%,"7,80","6,23","2,01%"
"12,24",2020,5%,"1,27","2,65","1,23","0,77","6,48","1,46","6,57","5,45","0,51",12%,"0,64",12%,4%,12%,"8,82","7,32","2,86%"
