P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-11,25",2010,-15%,"-0,64","0,92","0,08","-0,08","-0,22","-4,02","14,06","15,34","0,62",11%,"1,70",36%,-5%,5%,"31,26","34,11","0,00%"
"-0,56",2011,-400%,"-0,17","0,35","0,00","-0,50","-0,74","-0,38","-0,85","-0,83","0,23",-268%,"2,24",68%,-42%,-30%,"-6,05","-5,91","0,00%"
"-0,90",2012,-108%,"-0,23","0,56","0,07","-0,06","-0,15","-0,33","-1,94","-1,78","0,13",-55%,"0,97",37%,-14%,-7%,"-20,51","-18,78","0,00%"
"-2,00",2013,-37%,"-0,16","0,39","0,00","-0,03","-0,18","-0,33","-7,00","-9,28","0,15",-8%,"0,74",16%,-7%,-2%,"-63,02","-83,58","0,00%"
"-0,16",2014,-2150%,"-0,16","0,03","0,00","-0,18","-0,37","-0,08","-0,32","-0,32","0,19",-1078%,"3,50",50%,-116%,-69%,"-6,05","-6,17","0,00%"
"-0,40",2015,---,"-0,15","0,01","0,00","-5,14","-33,44","-0,06","-1,28","0,00","0,18",---,"0,00",15%,-46%,-17%,"-27,01","0,00","0,00%"
"-1,50",2016,---,"-0,07","0,00","0,00","-0,76","-2,13","-0,54","-7,24","0,00","0,92",---,"0,00",36%,-62%,-14%,"-20,84","0,00","0,00%"
"-0,10",2017,---,"-0,05","0,02","0,00","-7,09","-22,83","-0,03","-0,14","-0,07","0,10",---,"0,00",31%,-97%,-79%,"-4,81","-2,28","0,00%"
"-0,56",2018,-300%,---,"0,52","0,07","-2,36","-12,40","-0,11","-1,69","0,00","0,17",0%,"1,69",19%,-30%,-11%,"-29,26","0,00","0,00%"
"-44,48",2019,-17%,---,"0,54","0,00","-0,04","-0,88","-1,99","0,00","0,00","3,51",0%,"7,41",4%,-8%,0%,"0,00","0,00","0,00%"
"-40,96",2020,-16%,---,"0,54","0,00","-0,04","-0,90","-1,81","0,00","0,00","3,23",0%,"6,47",4%,-8%,0%,"0,00","0,00","0,00%"
