P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"25,06",2007,32%,"0,11","4,46","0,00","0,84","11,18","1,89","171,23","181,54","1,34",4%,"8,03",8%,5%,1%,"67,83","71,92","0,85%"
"4,59",2008,21%,"0,32","2,69","0,00","1,71","12,35","0,64","5,02","4,94","0,37",19%,"0,95",14%,8%,7%,"7,07","6,95","0,25%"
"31,17",2009,6%,"0,75","1,70","0,00","0,58","12,80","1,40","19,84","17,43","0,60",11%,"1,87",5%,2%,3%,"18,57","16,31","2,23%"
"11,11",2010,10%,"1,33","1,81","0,26","1,50","13,94","1,20","7,87","7,28","0,37",16%,"1,15",11%,3%,5%,"9,70","8,97","0,84%"
"9,06",2011,8%,"1,20","3,23","0,73","1,23","14,83","0,75","4,45","4,23","0,26",17%,"0,72",8%,3%,8%,"6,82","6,49","3,14%"
"7,14",2012,11%,"0,61","2,41","0,39","1,77","16,18","0,78","4,85","4,59","0,35",17%,"0,76",11%,5%,8%,"4,85","4,58","2,69%"
"4,73",2013,18%,"0,81","2,57","0,73","2,77","20,13","0,65","3,93","3,69","0,29",22%,"0,83",14%,6%,10%,"4,13","3,89","8,32%"
"5,63",2014,11%,"0,64","2,42","0,68","1,74","20,71","0,47","5,42","4,65","0,22",13%,"0,61",8%,4%,5%,"6,80","5,83","5,31%"
"18,95",2015,2%,"0,69","2,45","0,61","0,24","20,09","0,22","27,07","10,61","0,11",3%,"0,34",1%,1%,1%,"92,57","36,28","8,50%"
"-3,18",2016,-19%,"0,83","2,52","0,55","-1,71","17,23","0,32","-3,56","-3,15","0,15",-20%,"0,62",-10%,-5%,-5%,"-11,55","-10,22","4,40%"
"-2,89",2017,-32%,"0,50","1,58","0,26","-2,12","14,85","0,41","-3,20","-3,64","0,23",-26%,"0,93",-14%,-8%,-8%,"-6,87","-7,81","0,00%"
"-8,92",2018,-15%,"0,51","2,12","0,40","-0,62","14,30","0,38","-7,08","-8,58","0,20",-15%,"1,32",-4%,-2%,-3%,"-16,91","-20,50","0,00%"
"344,91",2019,1%,"0,65","3,15","0,55","0,05","14,23","1,11","76,65","53,18","0,48",4%,"2,16",0%,0%,1%,"72,33","50,18","0,00%"
"59,38",2020,2%,"0,67","2,43","0,20","0,14","14,05","0,58","89,07","44,12","0,24",3%,"1,20",1%,0%,0%,"178,74","88,54","0,12%"
