P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"12,30",2009,3%,2.10,0.78,0.14,"0,55","7,56","0,90","2,82","1,86","0,19",21%,"0,38",7%,2%,7%,"32,71","21,53","0,00%"
"-4,72",2010,-5%,2.36,0.82,0.21,"-1,16","8,22","0,67","2,28","1,46","0,14",18%,"0,26",-14%,-3%,7%,"33,85","21,74","0,00%"
"-2,34",2011,-9%,3.56,0.61,0.12,"-1,71","4,43","0,90","1,88","1,23","0,13",18%,"0,22",-39%,-6%,8%,"29,36","19,32","0,00%"
"-0,70",2012,-34%,-3.43,0.10,0.01,"-2,90","-1,23","-1,66","41,44","22,00","0,31",1%,"0,24",235%,-44%,1%,"1.069,46","567,88","0,00%"
"-3,97",2013,-130%,-2.84,0.09,0.03,"-0,30","-1,53","-0,78","127,98","47,95","0,18",11%,"5,17",20%,-5%,0%,"5.622,41","2.106,56","0,00%"
"0,83",2014,35%,0.91,1.18,0.42,"1,00","1,73","0,48","1,46","1,01","0,12",29%,"0,29",58%,14%,10%,"22,60","15,69","0,00%"
"4,88",2015,5%,1.11,1.33,0.37,"0,25","1,96","0,62","4,78","2,17","0,16",12%,"0,26",13%,3%,4%,"53,91","24,48","0,00%"
"23,39",2016,3%,0.94,1.15,0.39,"0,10","1,99","1,17","7,61","4,20","0,34",15%,"0,62",5%,1%,5%,"37,00","20,43","2,58%"
"50,57",2017,1%,1.19,1.18,0.32,"0,06","2,01","1,44","8,21","4,53","0,40",15%,"0,66",3%,1%,6%,"33,71","18,61","0,69%"
"24,67",2018,6%,1.54,1.52,0.34,"0,28","2,11","3,28","12,08","7,97","0,86",18%,"1,42",13%,4%,8%,"22,29","14,69","0,14%"
"17,74",2019,9%,1.67,1.49,0.29,"0,48","2,28","3,72","10,52","7,63","0,93",20%,"1,56",21%,5%,10%,"16,59","12,04","0,00%"
"25,22",2020,7%,1.84,1.35,0.43,"0,40","2,34","4,31","13,33","9,47","1,04",20%,"1,88",17%,4%,9%,"17,75","12,60","0,00%"
