P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"18,49",2005,11%,"1,83","0,89","0,00","1,55","5,28","5,43","9,20","5,11","1,67",42%,"2,12",29%,9%,19%,"159,79","88,76","1,36%"
"35,70",2006,11%,"1,60","0,47","0,00","1,80","5,62","11,43","20,19","10,16","2,80",38%,"3,84",32%,8%,17%,"147,07","74,01","0,98%"
"24,12",2007,10%,"1,98","0,49","0,00","0,78","2,40","7,87","13,28","6,82","2,14",37%,"2,53",33%,9%,18%,"110,89","57,00","16,52%"
"10,16",2008,8%,"2,58","0,94","0,00","0,70","2,72","2,61","4,35","2,00","0,68",38%,"0,77",26%,7%,16%,"100,17","46,01","3,94%"
"37,04",2009,6%,"2,53","0,86","0,00","0,52","3,08","6,28","15,02","5,89","1,49",36%,"2,10",17%,4%,11%,"127,59","50,05","0,78%"
"20,67",2010,10%,"1,89","0,90","0,50","1,30","4,55","5,92","10,82","7,89","1,58",27%,"2,13",29%,8%,20%,"65,48","47,75","1,04%"
"17,32",2011,10%,"1,85","1,45","0,90","1,48","5,67","4,51","8,48","6,16","1,26",28%,"1,73",26%,7%,21%,"54,08","39,25","1,48%"
"30,64",2012,8%,"1,55","1,70","1,12","1,22","6,67","5,62","15,94","8,50","1,84",28%,"2,35",18%,6%,16%,"68,74","36,66","1,17%"
"17,98",2013,11%,"1,75","1,53","1,03","1,85","6,45","5,16","10,62","7,55","1,51",26%,"1,97",29%,8%,21%,"49,39","35,14","4,57%"
"18,05",2014,11%,"1,64","1,40","0,99","1,98","7,95","4,49","10,23","7,67","1,31",25%,"1,91",25%,7%,21%,"44,28","33,19","1,37%"
"12,76",2015,10%,"1,56","1,48","1,02","1,95","9,32","2,66","7,01","5,53","0,84",24%,"1,32",21%,7%,18%,"44,10","34,77","2,98%"
"17,63",2016,9%,"1,72","1,22","0,92","1,94","10,37","3,30","9,39","7,14","0,98",23%,"1,63",19%,6%,16%,"42,70","32,45","2,16%"
"28,97",2017,8%,"2,49","1,54","1,17","0,76","3,90","5,66","15,17","11,87","1,32",20%,"2,43",20%,5%,13%,"35,81","28,01","2,81%"
"30,03",2018,8%,"2,47","1,11","0,73","0,99","4,64","6,41","15,81","12,48","1,42",20%,"2,51",21%,5%,13%,"28,74","22,69","0,87%"
"43,01",2019,8%,"1,72","1,28","0,80","1,10","7,18","6,60","24,13","16,25","1,85",22%,"3,53",15%,4%,11%,"25,11","16,91","0,86%"
"35,48",2020,8%,"2,04","1,45","1,06","1,13","7,16","5,59","19,62","13,15","1,47",22%,"2,88",16%,4%,11%,"24,61","16,49","0,98%"
