P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"11,89",2006,16%,"1,20","1,61","0,00","13,29","52,25","3,02","10,34","9,27","1,13",20%,"1,89",25%,10%,11%,"11,65","10,44","6,93%"
"15,29",2007,18%,"0,95","2,51","0,00","1,45","8,30","2,67","15,70","13,95","1,27",20%,"2,76",17%,8%,8%,"12,38","11,00","22,98%"
"4,87",2008,17%,"1,20","2,14","0,00","1,56","8,93","0,85","5,18","4,57","0,35",18%,"0,83",17%,7%,7%,"14,04","12,41","6,84%"
"67,45",2009,3%,"1,35","2,25","0,00","0,17","9,15","1,28","97,43","30,10","0,50",6%,"1,85",2%,1%,1%,"186,36","57,58","1,11%"
"15,49",2010,10%,"1,42","2,17","0,55","0,94","9,39","1,54","13,90","10,72","0,58",15%,"1,61",10%,4%,5%,"19,27","14,87","3,45%"
"124,72",2011,1%,"1,46","1,86","0,32","0,05","9,17","0,73","-49,89","28,13","0,28",3%,"0,79",1%,0%,-1%,"-158,33","89,29","4,90%"
"-8,96",2012,-6%,"1,27","1,78","0,17","-0,52","8,88","0,52","-6,50","-23,13","0,21",-2%,"0,54",-6%,-2%,-3%,"-29,06","-103,42","0,00%"
"142,32",2013,0%,"0,90","1,90","0,26","0,04","9,04","0,66","14,72","6,63","0,30",10%,"0,64",0%,0%,2%,"42,49","19,12","0,00%"
"24,67",2014,1%,"0,77","2,05","0,41","0,12","9,37","0,31","19,73","4,41","0,15",7%,"0,30",1%,1%,1%,"110,73","24,72","0,00%"
"16,31",2015,1%,"0,58","2,85","0,58","0,11","10,18","0,17","-57,09","3,52","0,09",5%,"0,19",1%,1%,0%,"-500,64","30,90","1,73%"
"-4,11",2016,-7%,"0,55","2,14","0,42","-0,62","9,56","0,27","-3,64","-15,95","0,15",-2%,"0,27",-6%,-4%,-5%,"-21,85","-95,66","0,78%"
"13,08",2017,6%,"0,39","2,11","0,43","0,59","10,23","0,75","9,49","5,94","0,45",12%,"0,72",6%,3%,6%,"17,34","10,85","1,04%"
"6,23",2018,11%,"0,45","1,93","0,28","1,35","11,09","0,76","11,52","6,68","0,43",11%,"0,71",12%,7%,4%,"21,03","12,19","8,78%"
"8,49",2019,17%,"0,46","1,92","0,37","2,07","12,06","1,46","10,51","7,99","0,81",18%,"1,44",17%,10%,9%,"9,10","6,92","6,38%"
"9,93",2020,10%,"0,57","1,70","0,33","1,32","12,65","1,04","15,55","9,51","0,53",11%,"1,02",10%,5%,4%,"19,63","12,01","4,96%"
