P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"4,29",1998,20%,"0,26","1,34","0,00","0,09","1,40","0,29","8,58","0,00","0,11",0%,"0,84",7%,3%,1%,"22,47","0,00","0,00%"
"5,79",1999,9%,"0,41","1,32","0,00","0,11","1,45","0,43","10,14","0,00","0,17",0%,"0,54",7%,3%,2%,"20,60","0,00","4,76%"
"4,32",2000,9%,"0,30","1,62","0,00","0,13","1,53","0,37","24,46","0,00","0,17",0%,"0,37",9%,4%,1%,"49,27","0,00","3,51%"
"-5,58",2001,-7%,"0,35","1,52","0,00","-0,07","1,46","0,27","-4,18","0,00","0,13",0%,"0,37",-5%,-2%,-3%,"-12,82","0,00","7,69%"
"7,21",2002,3%,"0,15","1,89","0,00","0,04","2,22","0,13","-6,01","0,00","0,06",0%,"0,22",2%,1%,-1%,"-21,97","0,00","0,00%"
"-42,55",2003,-2%,"0,16","2,05","0,00","-0,01","0,73","0,60","-14,18","0,00","0,24",0%,"0,95",-1%,-1%,-2%,"-11,15","0,00","2,27%"
"8,48",2004,8%,"0,35","1,71","0,00","0,07","0,80","0,71","6,48","0,00","0,23",0%,"0,70",8%,3%,4%,"5,79","0,00","0,00%"
"36,61",2005,7%,"0,42","1,88","0,00","0,07","0,86","3,10","24,41","0,00","1,29",0%,"2,54",8%,4%,5%,"5,42","0,00","0,75%"
"47,60",2006,11%,"0,12","3,79","0,00","0,57","13,75","1,99","-305,99","-300,50","1,44",-2%,"5,21",4%,3%,0%,"-30,55","-30,00","0,22%"
"25,20",2007,19%,"0,41","3,23","0,00","1,81","14,99","3,03","27,76","27,50","1,60",18%,"4,85",12%,6%,6%,"4,44","4,39","0,29%"
"5,59",2008,11%,"0,71","3,02","0,00","0,68","6,49","0,58","5,59","5,19","0,25",11%,"0,59",10%,5%,5%,"7,49","6,96","5,29%"
"17,02",2009,15%,"0,53","2,41","0,00","0,90","8,62","1,77","16,54","14,93","0,92",17%,"2,58",10%,5%,6%,"5,30","4,78","0,98%"
"20,93",2010,8%,"1,06","2,41","0,29","0,71","7,45","1,98","18,82","17,21","0,77",10%,"1,67",9%,4%,5%,"8,39","7,67","1,35%"
"26,99",2011,3%,"1,86","2,39","0,43","0,30","7,44","1,07","14,60","12,18","0,30",6%,"0,75",4%,1%,2%,"19,00","15,84","3,88%"
"-9,14",2012,-8%,"1,97","2,16","0,46","-0,50","5,61","0,81","266,26","43,80","0,23",2%,"0,69",-9%,-2%,0%,"464,55","76,42","6,81%"
"14,02",2013,3%,"1,27","1,40","0,16","0,15","5,88","0,35","4,39","3,99","0,11",10%,"0,40",2%,1%,3%,"13,73","12,49","0,00%"
"-0,47",2014,-38%,"1,32","1,02","0,10","-7,25","22,00","0,15","-0,80","-0,82","0,04",-21%,"0,18",-33%,-9%,-6%,"-6,19","-6,35","0,00%"
"-0,10",2015,-45%,"1,52","0,70","0,07","-6,55","15,15","0,04","-0,16","-0,17","0,01",-26%,"0,04",-43%,-10%,-7%,"-5,44","-5,70","0,00%"
"-0,09",2016,-98%,"2,79","0,75","0,02","-30,72","42,73","0,06","-0,15","-0,16","0,01",-54%,"0,09",-72%,-11%,-7%,"-6,63","-7,07","0,00%"
"-0,35",2017,-108%,"4,75","0,73","0,02","-20,46","21,51","0,33","-0,28","-0,30","0,03",-128%,"0,38",-95%,-9%,-12%,"-4,13","-4,30","0,00%"
"-0,15",2018,-409%,"-6,55","1,26","0,07","-35,33","-14,28","-0,37","-0,21","-0,21","0,04",-289%,"0,61",247%,-24%,-19%,"-3,71","-3,80","0,00%"
"-0,50",2019,-518%,"-2,60","0,49","0,04","-18,13","-32,76","-0,28","-0,53","-0,54","0,08",-480%,"2,61",55%,-15%,-16%,"-5,01","-5,14","0,00%"
"-0,29",2020,-654%,"-2,29","0,42","0,03","-17,55","-37,25","-0,14","-0,31","-0,30","0,04",-631%,"1,92",47%,-15%,-16%,"-5,19","-5,13","0,00%"
