P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"4,69",1998,18%,"0,58","0,83","0,00","19,53","302,40","0,30","2,05","0,00","0,17",0%,"0,82",6%,4%,9%,"34,17","0,00","0,00%"
"-25,78",1999,-7%,"0,71","1,19","0,00","-8,23","290,85","0,73","4,59","0,00","0,40",0%,"1,86",-3%,-2%,9%,"33,05","0,00","0,00%"
"9,49",2000,16%,"0,73","1,93","0,00","18,33","290,32","0,60","3,73","0,00","0,33",0%,"1,48",6%,3%,9%,"32,80","0,00","0,00%"
"17,40",2001,6%,"0,81","0,90","0,00","7,58","280,77","0,47","3,05","0,00","0,24",0%,"1,09",3%,1%,8%,"35,76","0,00","0,00%"
"-4,27",2002,-16%,"1,09","0,79","0,00","-21,56","254,43","0,36","1,96","0,00","0,16",0%,"0,70",-8%,-4%,8%,"33,99","0,00","22,83%"
"5,34",2003,21%,"0,96","0,67","0,00","30,55","266,02","0,61","3,19","0,00","0,28",0%,"1,13",11%,5%,9%,"30,77","0,00","6,74%"
"8,14",2004,13%,"0,89","0,59","0,00","19,35","279,19","0,56","3,46","0,00","0,27",0%,"1,02",7%,3%,8%,"34,47","0,00","7,04%"
"4,96",2005,18%,"0,79","1,02","0,00","31,67","297,83","0,53","2,69","1,98","0,26",46%,"0,90",11%,5%,10%,"26,58","19,58","8,42%"
"10,23",2006,15%,"0,70","0,91","0,00","28,65","316,65","0,93","4,76","3,48","0,46",43%,"1,51",9%,5%,10%,"25,04","18,34","3,25%"
"8,92",2007,18%,"0,58","0,91","0,00","4,61","42,94","0,96","4,59","3,52","0,50",45%,"1,57",11%,6%,11%,"21,19","16,25","2,87%"
"97,30",2008,1%,"0,72","0,74","0,00","0,29","41,90","0,66","5,41","3,54","0,31",28%,"1,00",1%,0%,6%,"38,00","24,87","3,67%"
"5,70",2009,20%,"0,62","0,81","0,00","6,04","46,20","0,74","3,66","2,90","0,36",40%,"1,16",13%,6%,10%,"20,61","16,34","5,82%"
"5,95",2010,18%,"0,85","1,02","0,57","7,16","42,49","1,00","3,63","3,01","0,42",35%,"1,05",17%,7%,13%,"16,40","13,59","5,05%"
"9,68",2011,12%,"0,80","0,94","0,54","5,37","46,28","1,12","5,03","3,80","0,47",31%,"1,19",12%,5%,10%,"18,63","14,05","0,00%"
"10,34",2012,18%,"0,76","0,89","0,51","8,40","51,42","1,69","6,96","5,53","0,75",33%,"1,84",16%,7%,12%,"15,67","12,44","2,92%"
"9,40",2013,17%,"0,73","1,09","0,60","2,81","18,92","1,40","5,76","4,51","0,64",35%,"1,60",15%,7%,12%,"14,42","11,29","8,88%"
"12,83",2014,8%,"0,81","0,92","0,49","1,33","19,46","0,87","6,08","3,99","0,38",26%,"1,04",7%,3%,7%,"24,40","16,00","4,64%"
"24,05",2015,5%,"0,96","0,92","0,44","0,79","20,07","0,94","4,25","3,14","0,38",35%,"1,10",4%,2%,10%,"16,12","11,92","1,95%"
"6,68",2016,21%,"0,78","0,89","0,44","4,31","22,56","1,28","5,74","4,30","0,54",32%,"1,40",19%,8%,10%,"13,90","10,42","0,76%"
"9,31",2017,17%,"0,69","0,96","0,48","3,69","25,62","1,34","5,92","4,46","0,59",36%,"1,61",14%,6%,11%,"11,96","9,01","3,50%"
"7,59",2018,18%,"0,67","1,04","0,56","4,15","28,60","1,10","4,16","3,28","0,49",41%,"1,34",15%,7%,13%,"9,22","7,26","3,27%"
"12,29",2019,19%,"0,61","0,76","0,35","4,93","31,65","1,91","7,25","5,53","0,89",42%,"2,30",16%,7%,13%,"8,51","6,49","1,92%"
"18,10",2020,11%,"0,69","0,74","0,33","3,02","30,69","1,78","6,70","5,03","0,80",41%,"2,06",10%,4%,13%,"8,94","6,71","0,00%"
