P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"16,91",2008,22%,"1,13","3,64","1,00","0,61","9,06","1,13","5,75","4,72","0,51",79%,"3,72",7%,3%,10%,"24,03","19,74","2,63%"
"6,70",2009,24%,"0,94","3,76","3,41","2,32","10,43","1,49","4,63","4,15","0,73",39%,"1,63",22%,11%,24%,"10,99","9,85","5,34%"
"14,43",2010,38%,"1,25","2,33","1,80","1,61","11,57","2,01","8,14","7,22","0,84",77%,"5,52",14%,6%,13%,"15,19","13,47","3,23%"
"14,40",2011,28%,"1,24","1,87","1,47","1,68","12,73","1,90","7,89","6,92","0,80",59%,"4,06",13%,6%,12%,"14,71","12,89","0,00%"
"11,70",2012,40%,"1,19","2,05","1,64","3,85","15,52","2,90","7,18","6,68","1,25",70%,"4,69",25%,11%,21%,"7,42","6,91","2,27%"
"8,51",2013,39%,"1,02","2,71","2,36","4,35","18,72","1,98","5,24","4,93","0,94",67%,"3,32",23%,11%,23%,"6,37","6,00","2,76%"
"15,34",2014,40%,"1,03","2,37","1,74","2,13","19,85","1,65","8,24","7,45","0,78",83%,"6,19",11%,5%,11%,"12,41","11,21","2,60%"
"8,05",2015,35%,"1,37","2,15","1,72","2,86","21,84","1,05","3,89","3,49","0,43",80%,"2,78",13%,5%,12%,"10,07","9,02","3,30%"
"18,73",2016,17%,"1,25","1,71","1,36","1,35","22,97","1,10","4,89","4,27","0,48",76%,"3,25",6%,3%,11%,"11,33","9,89","0,79%"
"20,18",2017,22%,"1,07","2,48","1,74","2,13","24,35","1,77","8,27","7,28","0,83",62%,"4,50",9%,4%,11%,"10,45","9,19","2,65%"
"98,70",2018,5%,"0,88","2,15","1,62","0,33","24,30","1,34","12,34","9,78","0,69",52%,"5,08",1%,1%,6%,"19,44","15,41","0,00%"
"30,87",2019,24%,"0,96","4,53","3,39","1,52","25,62","1,84","12,87","10,67","0,92",68%,"7,30",6%,3%,8%,"14,77","12,24","0,79%"
"22,14",2020,24%,"0,98","2,44","1,84","1,61","25,93","1,38","9,45","7,84","0,68",69%,"5,42",6%,3%,8%,"14,25","11,83","1,01%"
