P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"12,80",2011,10%,0.40,1.98,1.30,"0,89","4,88","2,35","7,70","0,00","1,18",0%,"1,30",18%,9%,29%,"0,39","0,00","0,00%"
"-136,79",2012,-1%,0.31,1.84,0.91,"-0,06","5,07","1,55","-136,79","0,00","0,88",0%,"0,79",-1%,-1%,-1%,"-32,31","0,00","2,68%"
"-31,41",2013,-2%,0.20,1.30,0.55,"-0,17","4,76","1,14","-94,22","0,00","0,56",0%,"0,68",-4%,-2%,-1%,"-21,56","0,00","0,00%"
"-2,76",2014,-13%,0.17,1.10,0.50,"-1,04","3,77","0,76","-3,16","0,00","0,41",0%,"0,35",-28%,-15%,-19%,"-2,08","0,00","0,00%"
"9,96",2015,4%,0.22,1.14,0.51,"0,31","4,03","0,77","6,98","0,00","0,25",0%,"0,38",8%,3%,6%,"-0,32","0,00","0,00%"
"13,50",2016,4%,0.15,1.46,0.74,"0,41","4,25","1,32","7,00","0,00","0,70",0%,"0,48",10%,5%,16%,"1,52","0,00","0,54%"
"11,03",2017,7%,0.08,1.43,0.62,"0,67","4,83","1,52","7,30","7,33","0,71",10%,"0,76",14%,6%,16%,"0,05","0,05","1,22%"
"41,51",2018,2%,0.36,2.24,1.00,"0,18","4,95","1,49","15,10","0,00","0,73",0%,"0,83",4%,2%,8%,"2,92","0,00","4,20%"
"-5,86",2019,-18%,0.57,1.60,0.94,"-1,07","4,09","1,53","-8,79","0,00","0,68",0%,"1,07",-26%,-12%,-13%,"-2,69","0,00","0,96%"
"-3,60",2020,-17%,0.60,1.49,0.88,"-0,76","4,04","0,67","-4,83","0,00","0,28",0%,"0,60",-19%,-8%,-10%,"-3,24","0,00","0,00%"
