P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"47,22",2009,9%,"1,46","1,85","0,51","0,55","3,27","7,91","47,22","27,09","2,56",17%,"4,48",17%,5%,7%,"33,80","19,39","0,54%"
"11,79",2010,8%,"1,20","1,93","0,36","0,77","3,82","2,37","6,96","5,44","0,83",18%,"0,97",20%,7%,14%,"14,36","11,23","7,51%"
"12,51",2011,7%,"1,37","1,71","0,30","0,80","4,42","2,26","7,09","5,53","0,77",16%,"0,91",18%,6%,13%,"14,14","11,02","1,90%"
"10,69",2012,7%,"1,22","1,71","0,38","0,75","4,94","1,63","5,97","4,52","0,60",18%,"0,79",15%,6%,12%,"14,51","10,99","2,61%"
"10,48",2013,8%,"1,17","2,78","0,75","0,99","5,61","1,84","5,28","4,19","0,69",19%,"0,81",18%,7%,16%,"9,90","7,85","1,16%"
"5,97",2014,8%,"1,14","2,40","0,95","0,88","6,24","0,84","3,80","2,75","0,33",17%,"0,46",14%,6%,12%,"13,40","9,68","6,68%"
"4,95",2015,8%,"0,95","2,84","1,15","0,78","6,85","0,57","3,26","2,22","0,25",17%,"0,38",11%,5%,10%,"14,87","10,12","6,70%"
"8,44",2016,6%,"0,75","2,41","1,03","0,50","7,15","0,59","6,92","3,66","0,29",13%,"0,47",7%,3%,6%,"27,13","14,33","3,07%"
"10,47",2017,6%,"0,82","3,28","1,33","0,66","7,63","0,90","7,45","4,82","0,41",13%,"0,64",9%,4%,8%,"18,25","11,80","2,32%"
"8,67",2018,8%,"0,95","2,76","0,99","0,81","6,04","1,16","7,02","5,12","0,48",13%,"0,66",13%,6%,10%,"13,27","9,68","4,43%"
"9,24",2019,9%,"0,86","2,51","0,93","1,10","6,94","1,46","9,33","6,57","0,65",13%,"0,85",16%,7%,9%,"12,21","8,60","0,00%"
"10,08",2020,9%,"1,05","2,24","0,98","1,06","7,20","1,49","9,67","7,32","0,60",12%,"0,91",15%,6%,9%,"12,07","9,14","0,00%"
