P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"47,64",2007,12%,"0,35","2,17","0,00","0,35","5,84","2,82","105,48","49,13","1,74",11%,"5,51",6%,4%,2%,"322,25","150,11","0,00%"
"29,74",2008,11%,"0,55","1,81","0,00","0,47","7,33","1,91","11,03","8,18","0,89",40%,"3,31",6%,3%,8%,"38,05","28,22","0,57%"
"144,62",2009,2%,"0,57","1,82","0,00","0,11","8,33","1,96","99,42","19,92","1,00",13%,"2,67",1%,1%,1%,"299,16","59,95","0,67%"
"36,51",2010,7%,"0,24","1,49","0,22","0,60","19,14","1,15","17,10","10,46","0,69",23%,"2,43",3%,2%,4%,"37,03","22,66","0,32%"
"9,33",2011,16%,"0,33","1,21","0,16","1,66","19,69","0,79","5,86","4,64","0,42",32%,"1,50",8%,5%,8%,"18,75","14,84","1,03%"
"48,80",2012,4%,"0,41","1,34","0,20","0,41","20,27","0,98","13,37","7,72","0,53",23%,"1,75",2%,1%,4%,"34,11","19,69","3,17%"
"20,29",2013,8%,"0,55","1,22","0,33","1,01","21,70","0,94","13,30","7,82","0,47",22%,"1,70",5%,2%,4%,"33,80","19,87","0,74%"
"19,04",2014,5%,"0,56","1,20","0,28","0,74","24,61","0,57","7,18","4,72","0,30",19%,"0,91",3%,2%,5%,"27,68","18,18","2,77%"
"12,98",2015,7%,"0,79","1,25","0,40","1,27","24,65","0,67","5,58","4,07","0,30",22%,"0,91",5%,2%,7%,"19,24","14,03","1,70%"
"95,40",2016,1%,"0,72","1,27","0,58","0,15","26,57","0,54","13,01","235,64","0,26",0%,"0,86",1%,0%,3%,"46,94","850,24","4,15%"
"7,11",2017,17%,"0,59","1,35","0,45","3,75","27,31","0,98","4,44","3,85","0,50",31%,"1,19",14%,7%,14%,"8,70","7,54","8,32%"
"9,78",2018,14%,"0,57","1,37","0,34","4,28","29,32","1,43","6,06","5,19","0,69",27%,"1,41",15%,7%,15%,"8,04","6,88","5,09%"
"14,96",2019,10%,"0,62","1,51","0,43","1,66","15,66","1,58","8,46","7,11","0,68",22%,"1,55",11%,5%,11%,"9,48","7,98","3,83%"
"11,89",2020,11%,"0,79","1,45","0,34","1,89","15,21","1,48","6,81","5,85","0,59",23%,"1,34",12%,5%,10%,"9,29","7,97","1,73%"
