P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"6,74",2007,6%,"0,12","1,40","0,00","4,49","23,85","1,27","10,35","0,00","0,31",0%,"0,43",19%,5%,3%,"63,63","0,00","0,00%"
"2,53",2008,9%,"0,11","1,42","0,00","6,33","26,73","0,60","4,86","4,74","0,15",5%,"0,21",24%,6%,3%,"56,41","55,06","4,13%"
"9,93",2009,6%,"0,10","1,41","0,00","5,24","29,13","1,79","87,05","0,00","0,39",0%,"0,63",18%,4%,0%,"311,60","0,00","2,14%"
"9,53",2010,8%,"0,11","1,73","1,32","2,18","10,30","2,02","12,81","0,00","0,48",0%,"0,74",21%,5%,8%,"24,47","0,00","10,29%"
"9,50",2011,5%,"0,11","1,70","1,28","1,59","10,96","1,38","92,16","0,00","0,32",0%,"0,47",14%,3%,1%,"226,42","0,00","9,40%"
"10,29",2012,5%,"0,15","1,85","1,44","1,72","11,94","1,48","33,13","0,00","0,35",0%,"0,48",14%,3%,2%,"65,80","0,00","3,67%"
"10,35",2013,4%,"0,14","1,64","1,21","1,43","10,62","1,39","18,13","0,00","0,30",0%,"0,43",13%,3%,3%,"32,92","0,00","4,53%"
"7,91",2014,4%,"0,26","1,70","1,27","1,63","11,74","1,10","21,99","0,00","0,24",0%,"0,33",14%,3%,2%,"41,04","0,00","3,10%"
"8,59",2015,5%,"0,24","1,77","1,40","2,17","13,00","1,43","21,07","0,00","0,32",0%,"0,42",17%,4%,3%,"23,21","0,00","2,79%"
"8,77",2016,4%,"0,28","1,91","1,57","2,05","14,79","1,22","31,61","24,76","0,28",2%,"0,38",14%,3%,2%,"27,82","21,79","2,94%"
"9,47",2017,4%,"0,28","1,93","1,60","1,97","14,31","1,30","16,72","14,97","0,31",3%,"0,41",14%,3%,5%,"10,52","9,42","3,22%"
"12,44",2018,5%,"0,23","1,89","1,58","2,30","15,95","1,79","14,74","13,84","0,44",4%,"0,57",14%,4%,8%,"3,97","3,73","1,99%"
"19,96",2019,5%,"0,24","1,95","1,64","3,00","18,13","3,30","25,07","22,27","0,83",5%,"1,09",17%,4%,8%,"2,07","1,83","1,05%"
"16,07",2020,5%,"0,32","1,93","1,62","2,63","17,97","2,36","20,96","18,13","0,60",4%,"0,76",15%,4%,7%,"3,93","3,40","1,51%"
