P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"6,44",2004,23%,"0,98","1,89","0,00","2,13","9,67","1,42","4,49","0,00","0,65",0%,"1,48",22%,10%,15%,"63,40","0,00","96,87%"
"6,69",2005,18%,"1,14","1,68","0,00","1,76","10,94","1,08","5,45","3,71","0,46",32%,"1,20",16%,7%,9%,"91,13","62,04","5,18%"
"14,88",2006,14%,"1,36","2,99","0,00","1,42","12,82","1,65","10,20","6,38","0,65",34%,"2,14",11%,4%,7%,"88,84","55,62","1,70%"
"16,85",2007,16%,"1,28","2,32","0,00","1,72","14,02","2,07","16,04","8,92","0,79",30%,"2,66",12%,5%,5%,"102,53","56,99","1,93%"
"-8,22",2008,-11%,"2,04","1,87","0,00","-1,47","12,19","0,99","3,95","2,52","0,29",36%,"0,91",-12%,-3%,7%,"64,00","40,87","0,00%"
"7,16",2009,22%,"1,48","1,94","0,00","2,86","14,30","1,43","11,72","6,16","0,49",26%,"1,59",20%,7%,4%,"109,88","57,70","3,76%"
"7,64",2010,17%,"0,83","2,61","1,80","1,93","21,71","0,68","5,11","3,51","0,31",37%,"1,30",9%,4%,8%,"48,45","33,28","3,86%"
"86,52",2011,1%,"0,90","1,74","1,06","0,08","24,31","0,28","3,96","2,05","0,12",27%,"0,55",0%,0%,4%,"85,47","44,30","4,15%"
"-42,04",2012,-4%,"0,97","2,34","1,52","-0,17","10,09","0,70","14,04","6,02","0,30",24%,"1,47",-2%,-1%,3%,"107,85","46,22","0,00%"
"-45,56",2013,-4%,"1,20","2,84","1,62","-0,20","9,85","0,94","10,27","5,37","0,37",33%,"1,76",-2%,-1%,4%,"63,10","33,02","1,08%"
"-46,84",2014,-4%,"1,33","2,15","1,20","-0,24","9,49","1,19","9,94","5,00","0,43",34%,"1,68",-3%,-1%,5%,"50,79","25,54","1,07%"
"-21,99",2015,-9%,"1,60","1,88","0,70","-0,85","8,45","2,21","6,63","4,53","0,72",44%,"1,99",-10%,-3%,12%,"21,06","14,40","1,34%"
"9,29",2016,17%,"1,38","2,10","0,97","1,53","9,16","1,55","11,93","5,78","0,54",28%,"1,59",17%,6%,5%,"47,58","23,05","1,97%"
"11,43",2017,17%,"1,05","1,83","0,73","1,64","10,51","1,78","6,34","4,43","0,72",44%,"1,96",16%,6%,13%,"18,99","13,28","0,96%"
"132,01",2018,2%,"2,97","5,08","4,21","0,29","10,87","3,50","8,41","6,41","0,78",49%,"3,13",3%,1%,18%,"12,51","9,54","0,50%"
"-19,20",2019,-11%,"3,52","1,65","0,82","-2,07","13,29","2,99","20,55","5,06","0,55",41%,"2,08",-16%,-3%,3%,"40,58","9,99","1,11%"
"-3,47",2020,-55%,"16,25","1,29","0,63","-11,02","3,43","11,15","13,71","4,12","0,49",46%,"1,91",-322%,-14%,4%,"31,27","9,41","0,00%"
