P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"6,50",2008,15%,"0,33","3,28","0,27","0,52","5,93","0,57","8,83","8,21","0,34",12%,"0,96",9%,5%,4%,"17,82","16,58","1,47%"
"13,50",2009,15%,"0,91","2,40","0,67","0,77","6,76","1,54","13,62","12,15","0,67",17%,"2,05",11%,5%,6%,"11,42","10,19","1,15%"
"8,05",2010,14%,"1,09","2,22","0,34","1,38","8,22","1,35","7,56","7,13","0,51",16%,"1,14",17%,6%,8%,"8,44","7,96","1,62%"
"12,98",2011,9%,"0,91","2,52","0,40","0,77","8,78","1,15","14,38","13,05","0,47",9%,"1,17",9%,4%,4%,"14,21","12,89","2,59%"
"-8,77",2012,-13%,"1,34","1,93","0,17","-0,92","7,71","1,05","-9,08","-9,91","0,36",-11%,"1,11",-12%,-4%,-4%,"-14,97","-16,32","3,72%"
"5,83",2013,16%,"1,44","2,03","0,21","1,54","8,49","1,06","5,16","4,97","0,36",18%,"0,91",18%,6%,8%,"8,41","8,11","0,00%"
"3,27",2014,13%,"1,39","1,70","0,14","1,18","9,44","0,41","3,79","3,54","0,14",12%,"0,43",12%,4%,4%,"15,84","14,79","12,21%"
"1,66",2015,23%,"0,79","1,67","0,15","1,63","9,51","0,28","1,94","1,89","0,13",20%,"0,38",17%,8%,7%,"7,76","7,56","7,78%"
"-1,30",2016,-134%,"0,74","1,62","0,09","-1,67","5,29","0,41","-1,27","-1,28","0,19",-135%,"1,73",-31%,-15%,-15%,"-3,80","-3,82","7,41%"
"-1,28",2017,-173%,"0,66","1,78","0,05","-1,60","3,22","0,64","-1,44","-1,45","0,29",-153%,"2,22",-50%,-23%,-21%,"-3,07","-3,09","0,00%"
"-1,70",2018,-162%,"0,78","1,35","0,06","-0,85","2,36","0,61","-2,21","-2,23","0,25",-123%,"2,74",-36%,-15%,-11%,"-6,29","-6,35","0,00%"
"-5,16",2019,-72%,"0,37","2,08","0,93","-0,35","1,28","1,42","-6,35","-6,42","0,78",-57%,"3,69",-28%,-15%,-15%,"-3,82","-3,86","0,00%"
"-3,13",2020,-80%,"0,34","1,73","0,63","-3,46","12,05","0,90","-3,79","-3,82","0,49",-66%,"2,51",-29%,-16%,-15%,"-4,20","-4,23","0,00%"
