P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"34,28",2007,6%,"0,08","3,29","0,00","0,66","5,15","4,37","21,13","0,00","3,04",0%,"2,16",13%,9%,15%,"20,26","0,00","0,00%"
"5,60",2008,5%,"0,29","1,34","0,00","0,80","4,89","0,92","3,76","2,50","0,50",12%,"0,30",16%,9%,14%,"19,54","13,01","18,89%"
"12,94",2009,7%,"0,23","1,25","0,00","1,20","5,14","3,01","8,52","6,35","1,76",14%,"0,90",23%,14%,22%,"12,75","9,51","5,29%"
"14,72",2010,10%,"0,12","1,85","0,27","1,73","6,35","4,01","9,93","9,83","2,80",15%,"1,44",27%,19%,33%,"8,66","8,57","3,77%"
"16,75",2011,7%,"0,74","2,40","0,39","1,53","6,04","4,25","9,45","8,38","1,77",13%,"1,12",25%,11%,22%,"9,35","8,29","3,90%"
"28,49",2012,5%,"0,87","1,30","0,17","1,23","6,29","5,56","14,89","12,36","2,11",10%,"1,28",20%,7%,16%,"11,20","9,30","2,80%"
"28,95",2013,2%,"1,32","2,29","0,77","0,62","6,08","2,96","10,69","8,48","0,99",8%,"0,67",10%,3%,12%,"15,99","12,69","5,11%"
"-49,89",2014,-1%,"1,41","3,57","1,30","-0,32","5,49","2,89","8,00","6,81","0,99",10%,"0,70",-6%,-2%,17%,"13,23","11,26","1,64%"
"25,83",2015,1%,"1,00","2,15","1,02","0,18","5,54","0,85","6,89","4,30","0,34",6%,"0,28",3%,1%,7%,"35,57","22,22","1,70%"
"31,72",2016,2%,"0,78","1,50","0,77","0,24","5,68","1,35","8,90","5,85","0,61",9%,"0,55",4%,2%,10%,"27,19","17,86","0,00%"
"12,69",2017,10%,"0,50","1,94","0,77","1,56","6,79","2,92","12,11","9,55","1,56",13%,"1,21",23%,12%,16%,"14,12","11,14","1,11%"
"16,65",2018,9%,"0,33","1,98","0,49","1,65","7,33","3,75","11,79","9,93","2,24",15%,"1,45",23%,13%,22%,"9,92","8,36","4,18%"
"12,81",2019,14%,"0,38","1,68","0,25","2,94","8,71","4,32","10,23","9,26","2,52",20%,"1,84",34%,20%,28%,"6,59","5,97","4,17%"
"7,65",2020,14%,"0,40","1,90","0,56","2,83","9,01","2,40","6,19","5,58","1,48",19%,"1,08",31%,19%,28%,"6,77","6,10","5,26%"
