P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"17,83",1998,17%,"0,09","1,26","0,00","0,06","2,03","0,55","0,00","0,00","0,41",0%,"3,00",3%,2%,0%,"0,00","0,00","8,04%"
"42,39",1999,5%,"0,32","0,66","0,00","0,09","2,06","1,91","20,86","0,00","1,14",0%,"1,93",4%,3%,6%,"554,60","0,00","1,53%"
"88,95",2000,2%,"0,39","1,48","0,00","0,04","2,73","1,46","20,22","0,00","0,91",0%,"1,86",2%,1%,5%,"531,36","0,00","0,25%"
"13,62",2001,9%,"0,35","2,20","0,00","0,22","2,84","1,07","8,59","0,00","0,68",0%,"1,29",8%,5%,8%,"294,55","0,00","2,97%"
"8,40",2002,9%,"0,32","1,46","0,00","0,23","2,93","0,67","5,75","0,00","0,41",0%,"0,75",8%,5%,8%,"299,48","0,00","2,55%"
"7,15",2003,14%,"0,07","1,80","0,00","0,42","3,10","0,98","6,97","0,00","0,66",0%,"0,99",14%,9%,11%,"224,51","0,00","1,98%"
"8,12",2004,13%,"0,04","1,58","0,00","0,48","3,44","1,13","7,10","0,00","0,76",0%,"1,06",14%,9%,13%,"90,92","0,00","3,10%"
"12,79",2005,14%,"0,05","1,56","0,00","0,48","3,12","1,96","11,24","0,00","1,23",0%,"1,84",15%,10%,14%,"72,75","0,00","2,29%"
"-97,94",2006,-3%,"0,28","1,07","0,00","-0,13","3,38","3,71","138,79","11,74","2,06",25%,"2,89",-4%,-2%,2%,"175,06","14,80","0,56%"
"251,35",2007,1%,"0,28","1,05","0,00","0,03","3,32","2,53","37,56","6,89","1,35",23%,"1,58",1%,1%,5%,"70,62","12,95","2,26%"
"63,58",2008,1%,"0,46","0,99","0,00","0,08","3,32","1,48","23,44","3,97","0,71",22%,"0,88",2%,1%,4%,"77,94","13,20","0,00%"
"81,95",2009,2%,"0,50","1,18","0,00","0,09","3,36","2,13","37,11","5,79","1,01",23%,"1,35",3%,1%,3%,"81,50","12,71","0,00%"
"7,62",2010,15%,"0,31","1,13","0,42","0,89","4,16","1,64","14,04","4,02","0,87",29%,"1,17",21%,11%,9%,"29,61","8,48","0,00%"
"17,41",2011,8%,"0,28","1,22","0,48","0,53","5,36","1,72","10,80","4,82","0,95",27%,"1,31",10%,5%,13%,"16,98","7,57","2,16%"
"13,67",2012,8%,"0,32","1,35","0,60","0,60","5,72","1,43","8,54","3,96","0,76",27%,"1,06",10%,6%,13%,"14,94","6,92","2,68%"
"19,77",2013,8%,"0,33","1,33","0,66","0,62","6,04","2,04","12,23","5,73","1,06",26%,"1,50",10%,5%,14%,"14,03","6,57","0,00%"
"18,41",2014,8%,"0,44","1,22","0,57","0,64","6,33","1,86","11,46","5,15","0,87",28%,"1,46",10%,5%,11%,"14,57","6,54","0,00%"
"8,01",2015,12%,"0,47","1,39","0,77","0,86","7,00","0,98","5,12","2,51","0,47",39%,"0,97",12%,6%,13%,"11,08","5,44","2,19%"
"25,17",2016,5%,"0,39","1,39","0,77","0,31","7,10","1,10","13,30","3,64","0,55",33%,"1,21",4%,2%,6%,"25,14","6,88","2,43%"
"25,68",2017,8%,"0,26","1,05","0,52","0,51","7,50","1,75","16,41","5,33","0,97",37%,"1,95",7%,4%,8%,"18,46","6,00","1,07%"
"11,27",2018,15%,"0,08","0,85","0,26","1,05","8,18","1,45","11,86","4,50","0,90",38%,"1,69",13%,8%,9%,"14,28","5,42","2,03%"
"10,47",2019,21%,"0,09","1,04","0,36","1,50","9,27","1,69","8,40","3,93","0,94",55%,"2,18",16%,9%,13%,"7,49","3,51","3,64%"
"9,68",2020,21%,"0,11","1,21","0,27","1,51","9,33","1,57","7,75","3,63","0,90",56%,"2,04",16%,9%,13%,"7,76","3,63","2,80%"
