P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"114,73",2006,3%,---,2.88,0.00,"0,41","13,11","3,61","0,00","32,31","2,98",11%,"3,62",3%,3%,0%,"0,00","313,21","0,00%"
"41,44",2007,9%,---,2.98,0.00,"1,42","13,38","4,41","34,99","16,33","3,55",22%,"3,59",11%,9%,10%,"271,88","126,90","1,44%"
"23,52",2008,7%,0.91,2.07,0.00,"1,57","14,73","2,51","22,16","8,24","1,11",21%,"1,70",11%,5%,5%,"243,31","90,45","4,70%"
"29,64",2009,13%,0.97,2.04,0.00,"3,98","16,28","7,25","20,42","14,75","3,04",25%,"3,72",24%,10%,15%,"70,69","51,05","1,06%"
"38,25",2010,12%,0.66,2.07,0.93,"4,42","20,06","8,43","25,08","18,36","3,76",26%,"4,71",22%,10%,18%,"58,56","42,87","1,45%"
"31,02",2011,13%,0.44,1.97,1.00,"1,07","4,70","7,08","23,36","17,18","3,97",24%,"4,15",23%,13%,23%,"53,98","39,69","6,40%"
"31,39",2012,15%,0.27,2.23,1.26,"1,29","5,65","7,15","21,98","17,27","4,60",27%,"4,59",23%,15%,31%,"40,61","31,90","1,61%"
"26,91",2013,14%,0.38,2.56,1.49,"1,37","6,55","5,64","18,90","15,01","3,26",25%,"3,74",21%,12%,25%,"37,93","30,13","1,95%"
"21,56",2014,15%,0.53,3.05,1.93,"1,62","6,90","5,07","16,34","13,01","2,65",25%,"3,20",24%,12%,25%,"34,86","27,74","2,74%"
"25,87",2015,10%,0.66,1.76,0.76,"1,20","7,57","4,10","22,15","15,28","1,91",17%,"2,66",16%,7%,11%,"54,83","37,82","3,67%"
"25.856,69",2016,7%,0.53,1.52,0.34,"0,00","0,01","3.263,88","18.694,51","11.578,17","1.629,93",16%,"1.824,06",13%,6%,10%,"59,49","36,85","3,87%"
"52,11",2017,4%,0.53,1.68,0.63,"0,57","7,61","3,93","34,38","16,81","1,99",13%,"2,22",8%,4%,7%,"86,93","42,51","1,20%"
"72,53",2018,3%,0.37,1.44,0.64,"0,37","7,78","3,49","35,41","17,33","1,88",11%,"1,94",5%,3%,7%,"96,54","47,26","1,14%"
"58,65",2019,9%,0.18,2.84,2.18,"1,10","12,86","5,02","38,14","26,33","3,52",21%,"5,45",9%,6%,17%,"34,19","23,60","0,65%"
"46,81",2020,11%,0.18,2.66,1.95,"0,45","4,37","4,83","36,36","25,24","3,39",21%,"5,27",10%,7%,15%,"33,68","23,38","1,99%"
