P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"9,54",2009,10%,"0,98","3,55","0,56","0,66","5,66","1,11","6,52","6,47","0,48",14%,"0,92",12%,5%,9%,"28,84","28,59","0,00%"
"14,42",2010,5%,"2,16","2,39","0,55","0,49","6,21","1,14","6,48","6,29","0,32",12%,"0,73",8%,2%,6%,"30,52","29,64","1,99%"
"-6,48",2011,-5%,"2,18","1,78","0,30","-0,44","5,72","0,50","10,14","9,35","0,14",3%,"0,30",-8%,-2%,2%,"120,59","111,26","3,86%"
"8,15",2012,5%,"1,67","1,88","0,22","0,35","5,97","0,48","4,15","4,00","0,16",9%,"0,38",6%,2%,4%,"46,04","44,42","0,00%"
"5,15",2013,12%,"0,86","2,14","0,30","0,76","7,31","0,53","4,20","4,15","0,26",15%,"0,61",10%,5%,7%,"30,81","30,48","1,28%"
"6,09",2014,11%,"0,72","2,44","0,40","0,49","6,97","0,43","5,19","5,05","0,22",13%,"0,66",7%,4%,5%,"47,56","46,32","4,03%"
"8,16",2015,7%,"0,58","2,58","0,15","0,34","7,21","0,39","5,58","5,44","0,22",10%,"0,56",5%,3%,4%,"58,85","57,39","9,29%"
"42,37",2016,2%,"0,38","2,55","0,10","0,07","7,16","0,41","15,13","14,85","0,24",5%,"0,70",1%,1%,2%,"152,39","149,49","4,14%"
"8,08",2017,8%,"0,41","2,87","0,38","0,51","7,49","0,55","5,53","5,51","0,32",12%,"0,68",7%,4%,7%,"38,77","38,58","3,42%"
"7,58",2018,14%,"0,46","2,59","0,30","0,54","4,11","1,00","6,44","6,40","0,55",17%,"1,10",13%,7%,10%,"22,97","22,82","3,90%"
"18,78",2019,19%,"0,28","3,15","1,08","0,81","5,86","2,61","16,70","16,64","1,59",22%,"3,58",14%,8%,13%,"10,39","10,35","0,46%"
"12,75",2020,20%,"0,27","3,19","0,90","0,83","6,03","1,76","11,56","11,37","1,06",22%,"2,51",14%,8%,12%,"10,87","10,70","2,08%"
