P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"9,40",2009,50%,"0,25","0,55","0,00","5,50","27,78","1,86","6,96","5,77","1,23",82%,"4,71",20%,13%,18%,"12,83","10,63","8,31%"
"14,89",2010,25%,"0,31","1,96","0,07","3,70","30,05","1,83","7,29","7,14","1,21",52%,"3,71",12%,8%,17%,"12,81","12,53","9,18%"
"9,66",2011,32%,"0,61","0,96","0,11","6,00","29,73","1,95","6,23","6,09","1,05",50%,"3,05",20%,11%,17%,"11,18","10,92","10,19%"
"5,96",2012,30%,"0,73","1,91","0,26","5,54","33,26","0,99","3,50","3,42","0,51",52%,"1,79",17%,9%,15%,"11,52","11,26","10,76%"
"124,53",2013,3%,"0,25","2,09","0,79","0,22","32,18","0,84","-19,76","-20,33","0,59",-21%,"4,19",1%,0%,-3%,"-67,09","-69,04","4,87%"
"17,61",2014,34%,"0,23","3,02","1,02","2,36","32,42","1,28","14,90","14,64","0,94",41%,"6,07",7%,5%,7%,"31,23","30,67","3,42%"
"14,20",2015,40%,"0,20","2,13","1,06","3,22","34,20","1,34","11,98","11,84","1,00",48%,"5,73",9%,7%,9%,"22,71","22,43","4,97%"
"2,16",2016,64%,"0,10","2,81","0,57","30,06","62,51","1,04","1,45","1,44","0,71",95%,"1,37",48%,33%,50%,"1,89","1,89","2,31%"
"7,95",2017,51%,"0,17","3,35","0,78","8,42","67,99","0,98","5,38","5,36","0,64",76%,"4,08",12%,8%,12%,"7,15","7,12","4,54%"
"6,01",2018,60%,"0,27","4,63","1,11","11,51","68,60","1,01","4,63","4,62","0,61",78%,"3,58",17%,10%,14%,"6,36","6,33","18,16%"
"8,35",2019,54%,"0,24","3,05","1,65","2,70","20,89","1,08","6,35","6,30","0,69",71%,"4,50",13%,8%,12%,"5,95","5,91","6,69%"
"7,29",2020,54%,"0,27","2,21","0,74","2,78","19,31","1,05","5,60","5,56","0,64",71%,"3,95",14%,9%,12%,"6,53","6,47","8,59%"
