P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"6,05",1999,12%,0.39,3.12,0.00,"3,45","22,89","0,91","3,86","0,00","0,58",0%,"0,71",15%,10%,16%,"70,88","0,00","0,00%"
"4,30",2000,12%,0.32,3.71,0.00,"4,30","24,68","0,75","3,74","0,00","0,49",0%,"0,52",17%,11%,14%,"77,48","0,00","4,38%"
"4,35",2001,10%,0.33,3.24,0.00,"4,30","23,38","0,80","3,17","0,00","0,51",0%,"0,43",18%,12%,17%,"64,82","0,00","18,66%"
"6,26",2002,9%,0.48,2.53,0.00,"3,98","17,54","1,42","4,78","0,00","0,82",0%,"0,58",23%,13%,18%,"56,36","0,00","3,09%"
"10,35",2003,6%,0.46,2.02,0.00,"3,60","19,92","1,87","6,42","0,00","1,10",0%,"0,65",18%,11%,18%,"50,63","0,00","2,92%"
"8,38",2004,9%,0.34,2.11,0.00,"6,09","23,42","2,18","5,51","0,00","1,37",0%,"0,74",26%,16%,26%,"31,77","0,00","3,69%"
"8,70",2005,6%,0.79,4.29,0.00,"3,73","22,42","1,45","7,37","4,83","0,73",12%,"0,56",17%,8%,10%,"59,52","39,04","4,92%"
"13,81",2006,6%,0.76,4.19,0.00,"3,55","24,22","2,02","12,66","7,97","1,03",10%,"0,83",15%,7%,8%,"68,06","42,86","4,33%"
"17,42",2007,1%,0.69,1.89,0.00,"3,62","57,41","1,10","10,26","6,39","0,55",4%,"0,26",6%,3%,6%,"46,48","28,95","1,41%"
"16,80",2008,1%,0.78,1.87,0.00,"3,02","35,01","1,45","9,40","6,19","0,70",4%,"0,24",9%,4%,8%,"32,52","21,40","5,25%"
"22,78",2009,1%,0.89,2.16,0.00,"3,52","36,31","2,21","11,46","7,80","0,97",4%,"0,30",10%,4%,9%,"25,87","17,61","2,22%"
"18,40",2010,2%,1.04,2.57,1.27,"5,71","38,63","2,72","11,30","7,93","1,08",4%,"0,33",15%,6%,14%,"17,71","12,42","2,39%"
"20,03",2011,2%,1.00,1.60,0.66,"1,60","10,40","3,08","11,81","8,45","1,25",4%,"0,35",15%,6%,15%,"15,64","11,18","2,94%"
"24,37",2012,2%,1.04,1.91,0.80,"1,90","11,21","4,13","14,53","10,32","1,62",4%,"0,46",17%,7%,16%,"13,52","9,60","2,20%"
"24,38",2013,2%,1.06,2.10,0.91,"2,29","12,20","4,58","14,02","10,29","1,83",5%,"0,49",19%,8%,18%,"10,94","8,03","2,36%"
"22,55",2014,2%,1.08,1.67,0.75,"2,28","14,07","3,66","12,44","8,95","1,45",5%,"0,42",16%,6%,16%,"10,56","7,59","2,76%"
"21,67",2015,2%,1.12,2.59,0.91,"2,79","14,68","4,12","11,12","8,30","1,57",5%,"0,43",19%,7%,18%,"8,56","6,39","2,50%"
"24,23",2016,2%,1.33,2.37,1.04,"2,83","15,38","4,45","12,23","9,03","1,58",5%,"0,49",18%,7%,19%,"8,23","6,07","2,34%"
"26,50",2017,2%,1.40,2.17,0.90,"2,83","17,47","4,29","14,45","10,27","1,47",5%,"0,52",16%,6%,15%,"9,41","6,69","2,29%"
"26,13",2018,1%,1.55,2.56,1.07,"2,04","17,61","3,02","15,71","10,98","0,97",3%,"0,33",12%,4%,9%,"15,02","10,49","2,74%"
"70,18",2019,0%,1.62,2.90,1.00,"0,36","8,84","2,88","22,01","13,29","0,91",2%,"0,32",4%,1%,6%,"23,80","14,37","3,53%"
"58,68",2020,0%,1.96,2.78,1.09,"0,30","8,54","2,04","14,32","8,75","0,59",2%,"0,22",3%,1%,5%,"24,10","14,73","2,53%"
