P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-1,48",2009,-180%,"2,86","1,16","0,06","-0,78","0,41","2,83","96,92","22,39","0,15",12%,"2,68",-190%,-10%,0%,"314,17","72,57","0,86%"
"15,14",2010,10%,"1,53","3,56","3,18","0,04","0,45","1,30","11,01","7,74","0,48",20%,"1,53",9%,3%,11%,"55,49","38,99","0,00%"
"48,46",2011,1%,"1,17","2,11","1,74","0,01","0,46","0,64","14,25","6,33","0,27",11%,"0,70",1%,1%,4%,"147,04","65,30","0,00%"
"8,15",2012,12%,"0,67","1,97","1,46","0,05","0,49","0,81","5,57","3,94","0,43",24%,"0,94",10%,5%,12%,"41,18","29,14","0,00%"
"1,23",2013,193%,"1,00","1,08","0,49","0,43","0,89","0,60","1,14","1,09","0,27",218%,"2,37",49%,22%,26%,"7,91","7,57","1,89%"
"0,59",2014,9%,"0,84","1,03","0,58","0,80","9,29","0,05","0,29","0,21","0,02",24%,"0,05",9%,4%,10%,"21,53","16,10","4,26%"
"4,11",2015,10%,"0,71","1,24","0,76","1,05","9,90","0,44","2,30","1,74","0,22",24%,"0,42",11%,5%,11%,"18,02","13,60","5,77%"
"2,04",2016,32%,"0,47","1,08","0,47","3,36","15,39","0,45","1,01","0,92","0,16",70%,"0,64",22%,8%,21%,"4,56","4,18","4,67%"
"4,30",2017,10%,"0,78","0,96","0,35","3,69","12,83","1,24","3,07","2,30","0,38",19%,"0,44",29%,9%,15%,"6,74","5,04","31,80%"
"6,12",2018,16%,"0,71","1,42","0,76","6,02","15,85","2,33","4,04","3,34","0,83",29%,"0,97",38%,14%,28%,"3,17","2,61","7,35%"
"20,87",2019,6%,"0,46","1,54","0,65","1,71","14,58","2,45","9,12","6,25","0,98",19%,"1,19",12%,5%,13%,"6,60","4,53","0,84%"
"109,68",2020,1%,"0,55","1,34","0,48","0,23","13,68","1,81","7,76","4,92","0,64",17%,"0,82",2%,1%,10%,"8,46","5,36","1,73%"
