P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-3,89",2002,-5%,"2,89","0,73","0,00","-1,69","14,51","0,45","0,69","0,00","0,09",0%,"0,21",-12%,-2%,14%,"8,31","0,00","3,66%"
"5,42",2003,16%,"1,68","1,01","0,00","6,26","18,75","1,81","2,81","0,00","0,48",0%,"0,86",33%,9%,18%,"5,63","0,00","5,10%"
"3,80",2004,25%,"0,79","1,62","0,00","14,19","28,00","1,93","2,29","0,00","0,70",0%,"0,97",51%,18%,31%,"2,48","0,00","3,89%"
"3,09",2005,30%,"0,39","1,69","0,00","17,97","40,28","1,38","2,16","0,00","0,67",0%,"0,94",45%,22%,32%,"2,02","0,00","12,77%"
"6,96",2006,20%,"0,29","2,39","0,00","11,56","47,94","1,68","4,70","0,00","0,93",0%,"1,42",24%,13%,20%,"2,94","0,00","5,66%"
"8,39",2007,23%,"0,20","2,38","0,00","9,71","38,25","2,13","6,00","5,77","1,30",34%,"1,94",25%,15%,22%,"2,36","2,27","5,36%"
"4,04",2008,21%,"0,44","2,69","0,00","6,57","30,62","0,87","2,41","2,07","0,47",40%,"0,83",21%,12%,21%,"2,70","2,32","10,78%"
"19,68",2009,11%,"0,34","3,04","0,00","2,51","32,76","1,51","21,03","12,07","0,94",18%,"2,23",8%,5%,5%,"11,65","6,69","2,71%"
"11,93",2010,12%,"0,41","3,48","1,29","1,61","19,28","0,99","8,84","6,39","0,59",23%,"1,46",8%,5%,8%,"5,22","3,77","3,03%"
"24,68",2011,3%,"0,46","3,08","1,27","0,41","19,26","0,53","14,46","6,47","0,30",13%,"0,84",2%,1%,3%,"16,65","7,45","1,48%"
"-23,84",2012,-4%,"0,44","2,00","0,87","-0,54","18,72","0,68","-91,72","14,73","0,39",7%,"1,00",-3%,-2%,-1%,"-82,65","13,27","0,70%"
"779,58",2013,0%,"0,36","1,86","0,68","0,02","19,07","0,75","19,99","7,91","0,45",14%,"1,09",0%,0%,3%,"16,16","6,40","0,00%"
"23,86",2014,2%,"0,36","1,73","0,60","0,21","19,00","0,27","7,05","2,74","0,16",16%,"0,42",1%,1%,3%,"16,69","6,48","0,00%"
"-0,42",2015,-36%,"0,52","1,53","0,45","-3,73","15,18","0,10","-0,42","-0,66","0,06",-23%,"0,15",-25%,-13%,-15%,"-3,81","-5,96","1,94%"
"-8,93",2016,-7%,"0,46","3,66","1,29","-0,46","12,12","0,34","-23,35","5,16","0,20",12%,"0,61",-4%,-2%,-1%,"-57,44","12,70","0,00%"
"35,97",2017,3%,"0,44","2,38","0,76","0,25","12,12","0,75","12,90","5,55","0,44",19%,"1,06",2%,1%,4%,"13,90","5,98","0,00%"
"13,92",2018,6%,"0,37","2,50","0,51","0,66","12,53","0,74","10,11","5,32","0,44",16%,"0,84",5%,3%,5%,"10,61","5,58","0,54%"
"31,53",2019,3%,"0,33","3,07","0,66","0,30","12,42","0,77","12,52","6,13","0,45",13%,"0,80",2%,1%,4%,"11,72","5,74","1,58%"
"-66,83",2020,-1%,"0,38","3,26","0,81","-0,10","12,47","0,53","8,14","4,09","0,30",13%,"0,54",-1%,0%,4%,"11,41","5,73","0,61%"
