P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"9,58",2005,34%,"0,46","1,08","0,00","9,97","23,45","4,07","7,27","6,42","2,05",50%,"3,24",43%,21%,30%,"19,66","17,37","2,81%"
"10,58",2006,32%,"1,10","1,63","0,00","6,02","18,67","3,41","7,82","6,93","1,25",49%,"3,40",32%,12%,17%,"17,00","15,06","2,72%"
"13,29",2007,33%,"0,58","1,09","0,00","4,46","12,77","4,64","10,10","8,81","2,16",50%,"4,43",35%,16%,22%,"11,30","9,85","1,82%"
"6,65",2008,31%,"0,44","3,01","0,00","4,16","19,63","1,41","5,51","4,61","0,78",44%,"2,05",21%,12%,15%,"12,59","10,54","3,94%"
"24,77",2009,21%,"0,41","2,20","0,00","2,00","19,48","2,54","19,27","13,70","1,47",39%,"5,32",10%,6%,8%,"24,41","17,35","2,04%"
"9,42",2010,37%,"0,38","1,73","0,43","5,87","22,29","2,48","7,14","6,25","1,35",55%,"3,47",26%,14%,21%,"7,79","6,82","1,77%"
"5,38",2011,36%,"0,32","1,89","0,34","7,34","28,78","1,37","3,79","3,35","0,83",58%,"1,95",25%,15%,24%,"6,10","5,40","7,30%"
"23,60",2012,10%,"0,40","1,79","0,46","1,79","30,20","1,40","14,53","9,31","0,82",25%,"2,33",6%,3%,6%,"22,32","14,31","5,37%"
"-713,28",2013,0%,"0,45","2,54","0,55","-0,05","29,52","1,21","5,52","4,35","0,63",41%,"1,79",0%,0%,12%,"10,23","8,06","5,04%"
"508,61",2014,0%,"0,51","1,88","0,37","0,04","29,03","0,75","6,42","4,08","0,36",31%,"1,28",0%,0%,6%,"19,96","12,67","8,63%"
"-1,46",2015,-54%,"0,81","1,47","0,34","-8,93","27,05","0,48","-2,37","-4,52","0,19",-17%,"0,79",-33%,-13%,-9%,"-13,53","-25,82","7,44%"
"10,13",2016,14%,"0,71","2,01","0,38","2,54","25,49","1,01","5,37","3,62","0,42",39%,"1,42",10%,4%,8%,"14,61","9,85","0,66%"
"12,04",2017,16%,"0,50","1,45","0,33","3,34","28,03","1,44","6,16","4,59","0,65",43%,"1,96",12%,5%,11%,"9,98","7,43","3,30%"
"10,46",2018,19%,"0,35","1,67","0,63","4,88","32,87","1,55","6,24","4,86","0,79",41%,"2,00",15%,8%,14%,"7,46","5,82","3,86%"
"-32,39",2019,-6%,"0,38","1,23","0,53","-1,65","29,74","1,79","125,74","16,58","0,76",11%,"1,89",-6%,-2%,1%,"140,60","18,54","2,65%"
"-193,43",2020,-1%,"0,56","1,72","1,02","-0,29","32,72","1,69","17,56","8,34","0,67",24%,"1,96",-1%,0%,5%,"19,27","9,15","2,55%"
