P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-5,01",2011,-16%,"1,35","1,75","0,33","-0,40","3,52","0,57","-10,77","0,00","0,18",0%,"0,78",-11%,-4%,-2%,"-20,01","0,00","0,00%"
"-0,46",2012,-139%,"2,13","1,24","0,13","-1,38","1,76","0,36","-0,61","0,00","0,08",0%,"0,64",-78%,-18%,-15%,"-3,31","0,00","0,00%"
"-0,30",2013,-54%,"3,22","1,55","0,19","-0,84","0,94","0,27","-0,62","0,00","0,04",0%,"0,16",-89%,-14%,-8%,"-6,79","0,00","0,00%"
"-0,14",2014,-147%,"11,86","1,14","0,03","-0,69","0,24","0,41","-0,22","0,00","0,02",0%,"0,21",-286%,-15%,-10%,"-6,66","0,00","0,00%"
"-0,04",2015,-234%,"-5,60","0,81","0,02","-0,77","-0,54","-0,06","-0,06","0,00","0,01",0%,"0,09",141%,-20%,-12%,"-6,93","0,00","0,00%"
"-0,02",2016,2035%,"-2,05","0,59","0,03","-80,50","-118,43","-0,01","-0,03","0,00","0,01",0%,"-0,39",68%,-35%,-26%,"-4,44","0,00","0,00%"
"-0,07",2017,-2380%,"-9,06","0,86","0,02","-27,68","-15,12","-0,12","-0,08","0,00","0,01",0%,"1,55",183%,-14%,-12%,"-6,68","0,00","0,00%"
"-1,06",2018,-232%,"5,83","1,03","0,02","-0,44","0,10","4,55","-2,46","0,00","0,32",0%,"2,46",-428%,-30%,-13%,"-4,02","0,00","0,00%"
"-0,54",2019,152%,"-1,46","0,45","0,01","-4,72","-2,88","-0,89","-0,72","0,00","0,23",0%,"-0,82",164%,-43%,-33%,"-1,65","0,00","0,00%"
"-0,37",2020,163%,"-1,38","0,44","0,01","-4,62","-3,09","-0,56","-0,49","-0,49","0,16",123%,"-0,61",149%,-43%,-35%,"-1,65","-1,67","0,00%"
