P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"21,16",1999,19%,"0,08","0,73","0,00","2,07","28,15","1,56","21,92","0,00","1,20",0%,"4,05",7%,6%,6%,"84,92","0,00","0,00%"
"8,93",2000,21%,"0,13","0,64","0,00","3,09","29,26","0,94","6,79","0,00","0,68",0%,"1,87",11%,8%,11%,"41,71","0,00","0,00%"
"9,38",2001,18%,"0,27","0,60","0,00","3,36","29,73","1,06","6,88","0,00","0,68",0%,"1,72",11%,7%,11%,"37,93","0,00","0,00%"
"15,69",2002,11%,"0,32","0,91","0,00","2,19","29,34","1,17","8,14","0,00","0,76",0%,"1,68",7%,5%,10%,"41,62","0,00","5,48%"
"14,07",2003,13%,"0,24","0,69","0,00","3,22","24,86","1,82","8,95","0,00","1,11",0%,"1,89",13%,8%,13%,"34,01","0,00","18,12%"
"11,47",2004,16%,"0,24","1,00","0,00","4,42","23,09","2,20","7,56","0,00","1,33",0%,"1,88",19%,12%,19%,"25,61","0,00","12,78%"
"9,27",2005,18%,"0,23","0,94","0,00","5,17","20,74","2,31","6,09","0,00","1,25",0%,"1,64",25%,13%,22%,"21,77","0,00","16,45%"
"9,88",2006,19%,"0,22","0,75","0,00","5,57","20,97","2,62","6,54","0,00","1,53",0%,"1,90",27%,16%,26%,"19,81","0,00","11,58%"
"9,67",2007,16%,"0,33","0,90","0,00","4,68","19,58","2,31","6,27","0,00","1,21",0%,"1,55",24%,12%,21%,"23,38","0,00","13,21%"
"9,55",2008,15%,"0,37","1,10","0,00","4,79","19,86","2,30","6,20","0,00","1,16",0%,"1,45",24%,12%,21%,"22,99","0,00","11,35%"
"10,13",2009,14%,"0,35","0,92","0,00","4,30","19,88","2,19","6,56","3,76","1,08",37%,"1,39",22%,11%,19%,"25,47","14,58","6,91%"
"9,17",2010,15%,"0,16","0,90","0,27","4,58","23,06","1,82","6,21","3,89","1,06",35%,"1,35",20%,12%,22%,"24,03","15,06","3,83%"
"13,37",2011,15%,"0,14","0,93","0,23","3,88","38,55","1,35","10,06","5,62","0,89",36%,"2,00",10%,7%,10%,"14,70","8,21","3,99%"
"12,36",2012,13%,"0,18","1,20","0,53","3,97","39,78","1,23","7,63","4,33","0,78",37%,"1,62",10%,6%,13%,"11,47","6,51","5,76%"
"13,55",2013,11%,"0,20","1,16","0,48","3,31","38,19","1,17","10,33","4,79","0,72",30%,"1,45",9%,5%,9%,"17,26","8,00","11,55%"
"10,66",2014,14%,"0,17","0,97","0,29","4,40","40,02","1,17","10,29","5,05","0,72",30%,"1,50",11%,7%,8%,"16,63","8,17","6,42%"
"17,65",2015,8%,"0,15","1,00","0,30","2,03","40,60","0,88","11,52","5,01","0,59",30%,"1,50",5%,3%,6%,"16,57","7,20","10,77%"
"18,24",2016,10%,"0,13","0,90","0,25","2,42","40,95","1,08","11,70","5,32","0,73",33%,"1,75",6%,4%,7%,"13,52","6,14","4,81%"
"17,83",2017,11%,"0,12","0,94","0,23","2,73","41,08","1,18","12,39","5,67","0,81",34%,"1,90",7%,5%,7%,"13,02","5,96","5,45%"
"8,76",2018,21%,"0,09","1,07","0,20","5,28","42,35","1,09","8,27","4,39","0,76",41%,"1,80",12%,9%,10%,"8,97","4,76","8,89%"
"19,60",2019,11%,"0,20","1,05","0,19","2,96","41,67","1,39","13,59","5,41","0,91",41%,"2,21",7%,5%,7%,"12,81","5,10","3,78%"
"17,38",2020,11%,"0,19","1,10","0,29","2,85","42,11","1,18","11,61","4,58","0,76",41%,"1,90",7%,4%,7%,"12,47","4,92","6,06%"
