P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"13,02",2010,11%,"0,40","2,03","0,74","1,56","8,85","2,29","7,60","6,19","1,29",22%,"1,38",18%,10%,22%,"6,16","5,02","2,77%"
"10,68",2011,13%,"0,42","2,10","0,77","2,04","9,09","2,40","7,73","6,60","1,32",21%,"1,38",22%,12%,23%,"5,39","4,60","3,81%"
"24,06",2012,11%,"0,79","1,56","0,41","1,89","9,22","4,93","15,13","12,67","2,28",21%,"2,70",21%,9%,18%,"6,49","5,44","3,91%"
"19,25",2013,8%,"0,76","2,90","0,80","1,67","9,77","3,30","13,46","9,72","1,53",16%,"1,52",17%,8%,14%,"7,96","5,75","3,60%"
"21,05",2014,9%,"0,81","2,05","0,61","2,01","10,61","4,00","13,55","9,95","1,82",18%,"1,82",19%,9%,17%,"6,31","4,63","3,18%"
"20,51",2015,8%,"0,70","1,99","0,57","2,07","16,67","2,55","14,17","9,77","1,27",17%,"1,68",12%,6%,11%,"6,70","4,62","2,42%"
"17,92",2016,5%,"0,81","1,66","0,74","1,37","15,32","1,61","14,11","37,32","0,77",2%,"0,93",9%,4%,7%,"10,62","28,09","3,94%"
"44,02",2017,2%,"0,81","1,92","0,70","0,42","13,90","1,33","13,90","8,19","0,64",10%,"0,84",3%,1%,6%,"13,59","8,01","2,00%"
"12,69",2018,6%,"0,76","2,07","0,67","1,42","15,28","1,18","8,38","5,73","0,57",13%,"0,74",9%,4%,8%,"8,62","5,89","5,44%"
"21,99",2019,3%,"0,85","1,71","0,50","0,77","15,68","1,08","9,23","5,57","0,48",11%,"0,60",5%,2%,6%,"10,89","6,56","4,12%"
"18,74",2020,2%,"0,89","1,67","0,47","0,59","17,66","0,63","6,10","3,43","0,28",11%,"0,39",3%,1%,6%,"12,31","6,92","6,33%"
