P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"7,44",2008,11%,"1,85","2,72","0,27","2,49","5,46","3,39","6,16","4,86","0,90",16%,"0,80",46%,12%,17%,"8,92","7,04","0,76%"
"13,76",2009,9%,"1,63","1,51","0,16","1,97","6,37","4,26","8,01","6,60","1,18",18%,"1,19",31%,9%,18%,"7,93","6,54","2,47%"
"16,22",2010,6%,"1,42","1,50","0,08","1,76","7,56","3,77","10,45","6,89","1,24",15%,"1,02",23%,8%,13%,"10,21","6,74","1,37%"
"-1,73",2011,-21%,"5,02","1,27","0,04","-1,12","0,76","2,55","-2,28","-4,12","0,35",-9%,"0,36",-147%,-20%,-17%,"-9,64","-17,40","5,15%"
"-1,02",2012,-21%,"207,00","1,16","0,10","-1,09","0,02","62,72","-3,02","53,92","0,23",0%,"0,21",-6.120%,-22%,-8%,"-21,35","381,77","0,00%"
"-3,82",2013,-10%,"6,17","1,10","0,09","-0,17","0,18","3,62","-53,51","6,64","0,38",5%,"0,36",-95%,-10%,-1%,"-224,15","27,81","0,00%"
"-3,09",2014,-6%,"11,79","1,23","0,07","-0,10","0,08","3,64","5,70","1,95","0,17",9%,"0,18",-118%,-6%,3%,"49,55","16,94","0,00%"
"-6,82",2015,-5%,"19,29","0,93","0,04","-0,07","0,05","9,74","8,97","3,15","0,28",11%,"0,35",-143%,-4%,3%,"49,88","17,50","0,00%"
"12,01",2016,3%,"10,57","1,40","0,05","0,20","0,28","8,72","3,70","2,38","0,41",16%,"0,39",73%,3%,12%,"14,74","9,48","0,00%"
"11,71",2017,15%,"0,12","2,51","0,38","0,78","3,19","2,85","9,24","7,54","2,00",23%,"1,77",24%,17%,26%,"5,15","4,20","0,00%"
"11,40",2018,12%,"0,06","2,91","0,25","0,62","3,83","1,85","10,91","8,00","1,32",17%,"1,40",16%,12%,13%,"7,78","5,71","0,00%"
"15,81",2019,11%,"0,04","5,33","0,42","0,58","4,42","2,08","16,04","10,16","1,67",16%,"1,66",13%,11%,11%,"8,75","5,55","0,00%"
"9,97",2020,10%,"0,06","4,79","0,70","0,51","4,49","1,14","10,55","6,87","0,91",14%,"0,97",11%,9%,10%,"10,05","6,54","0,00%"
