P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"11,55",2004,19%,"0,68","1,94","0,00","0,66","1,88","4,07","10,96","0,00","1,91",0%,"2,14",35%,17%,18%,"217,40","0,00","0,13%"
"12,09",2005,15%,"0,98","1,65","0,00","0,62","2,22","3,38","11,49","9,30","1,40",20%,"1,84",28%,12%,13%,"233,88","189,21","3,73%"
"15,65",2006,17%,"0,91","2,04","0,00","0,83","2,51","5,17","15,18","0,00","2,15",0%,"2,67",33%,14%,15%,"178,30","0,00","2,46%"
"26,42",2007,16%,"0,93","1,76","0,00","0,95","3,02","8,35","22,46","18,34","3,19",23%,"4,15",32%,12%,15%,"136,56","111,52","2,06%"
"13,22",2008,13%,"0,97","1,74","0,00","0,95","3,59","3,48","9,29","7,45","1,34",23%,"1,71",26%,10%,15%,"114,40","91,78","3,84%"
"20,33",2009,13%,"0,78","2,18","0,00","0,91","3,84","4,79","18,37","13,96","2,13",19%,"2,71",24%,10%,12%,"152,38","115,82","2,34%"
"25,40",2010,12%,"0,68","2,47","1,32","0,86","5,71","3,82","22,48","17,21","1,80",18%,"3,08",15%,7%,13%,"154,11","117,94","2,52%"
"19,15",2011,12%,"0,89","2,13","1,07","0,98","6,30","2,98","17,53","13,68","1,28",16%,"2,24",16%,7%,11%,"140,71","109,77","3,04%"
"25,21",2012,11%,"0,65","1,90","0,85","1,07","6,70","4,03","20,71","16,46","1,89",16%,"2,71",16%,7%,14%,"115,14","91,50","2,04%"
"22,88",2013,12%,"0,69","2,66","1,31","1,36","7,48","4,16","19,12","15,72","1,91",18%,"2,83",18%,8%,16%,"91,73","75,40","2,21%"
"25,66",2014,12%,"0,80","2,40","1,24","1,19","6,37","4,80","22,56","18,35","2,09",17%,"3,15",19%,8%,15%,"84,83","69,01","2,35%"
"20,66",2015,12%,"0,84","2,74","1,27","0,72","3,82","3,92","20,80","16,32","1,69",15%,"2,47",19%,8%,13%,"80,78","63,36","3,55%"
"22,18",2016,12%,"0,72","2,78","1,45","0,70","3,76","4,12","23,52","17,79","1,85",15%,"2,67",19%,8%,13%,"86,98","65,78","2,52%"
"34,11",2017,12%,"0,59","2,18","1,06","0,71","4,24","5,69","32,93","26,54","2,78",15%,"4,09",17%,8%,14%,"78,16","63,01","1,49%"
"27,35",2018,11%,"0,48","1,87","0,70","0,64","3,74","4,69","24,41","20,18","2,39",15%,"3,08",17%,9%,14%,"61,77","51,07","1,94%"
"44,52",2019,12%,"0,26","2,17","0,75","0,78","4,25","8,15","39,36","32,41","4,64",17%,"5,45",18%,10%,16%,"49,68","40,90","0,98%"
"52,88",2020,13%,"0,25","2,14","0,59","0,85","4,71","9,52","47,06","38,98","5,42",17%,"6,66",18%,10%,15%,"46,24","38,29","0,85%"
