P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"7,08",2008,9%,"0,57","3,24","2,18","1,55","10,91","1,00","3,32","2,63","0,55",25%,"0,67",14%,8%,27%,"9,03","7,16","0,00%"
"9,67",2009,19%,"0,63","2,80","1,68","2,22","10,36","2,07","9,04","6,84","1,09",27%,"1,84",21%,11%,18%,"13,24","10,01","0,00%"
"19,46",2010,12%,"0,70","2,00","1,02","1,64","10,88","2,94","13,88","9,63","1,46",25%,"2,38",15%,7%,15%,"14,54","10,09","0,00%"
"25,10",2011,6%,"1,03","1,88","0,88","1,01","12,58","2,02","9,27","5,90","0,85",23%,"1,38",8%,3%,12%,"14,18","9,03","0,00%"
"23,22",2012,7%,"1,14","1,60","0,67","1,38","14,38","2,22","13,16","7,35","0,89",23%,"1,73",10%,4%,9%,"17,24","9,63","1,53%"
"20,95",2013,7%,"0,73","1,77","0,75","1,48","17,02","1,82","7,41","5,07","0,87",28%,"1,42",9%,4%,16%,"9,03","6,18","1,65%"
"22,54",2014,7%,"0,78","1,80","0,83","1,42","19,16","1,67","8,49","5,75","0,81",27%,"1,53",7%,4%,12%,"10,72","7,26","0,00%"
"21,15",2015,7%,"0,84","1,90","1,04","1,56","23,81","1,39","5,84","4,08","0,63",34%,"1,40",7%,3%,14%,"7,51","5,25","3,73%"
"8,11",2016,19%,"0,73","1,71","0,92","4,13","23,66","1,42","6,29","4,25","0,71",35%,"1,50",17%,9%,14%,"7,83","5,29","5,28%"
"12,12",2017,15%,"0,65","1,82","0,91","3,30","25,43","1,57","7,54","5,08","0,83",35%,"1,80",13%,7%,13%,"7,70","5,18","4,13%"
"17,17",2018,10%,"0,60","1,49","0,58","2,33","28,06","1,43","7,77","4,99","0,77",34%,"1,70",8%,5%,11%,"8,24","5,30","4,68%"
"25,95",2019,8%,"1,06","1,49","0,68","1,73","28,14","1,59","10,78","6,29","0,69",32%,"1,99",6%,3%,7%,"13,24","7,73","0,00%"
"32,78",2020,4%,"1,09","1,55","0,88","0,91","32,18","0,93","7,27","4,15","0,40",32%,"1,31",3%,1%,6%,"13,98","7,97","0,00%"
