P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"25,85",2008,4%,0.03,2.11,0.00,"0,48","5,36","2,33","49,12","15,17","1,55",7%,"1,00",9%,6%,3%,"508,38","157,01","0,48%"
"29,98",2009,6%,0.01,2.15,0.00,"0,83","5,83","4,26","35,43","20,54","2,94",9%,"1,93",14%,10%,9%,"184,76","107,09","0,93%"
"27,34",2010,8%,0.02,2.81,1.19,"0,99","7,13","3,79","36,30","24,01","2,75",9%,"2,18",14%,10%,10%,"163,95","108,42","1,44%"
"20,78",2011,6%,0.41,3.67,1.26,"0,87","7,54","2,39","18,21","11,99","1,38",11%,"1,29",11%,7%,9%,"126,44","83,24","2,61%"
"30,87",2012,8%,0.39,2.65,0.73,"1,35","8,61","4,85","22,99","16,38","2,77",15%,"2,48",16%,9%,14%,"69,10","49,21","0,48%"
"24,34",2013,14%,0.18,4.38,2.55,"0,84","5,17","3,95","23,95","18,97","2,80",18%,"3,46",16%,12%,18%,"38,77","30,69","1,32%"
"17,46",2014,18%,0.25,3.71,1.80,"1,36","7,64","3,12","17,51","14,02","2,12",22%,"3,10",18%,12%,15%,"23,55","18,86","0,84%"
"8,85",2015,17%,0.39,2.84,0.93,"1,58","8,71","1,60","8,32","6,32","0,98",23%,"1,46",18%,11%,14%,"20,37","15,47","2,37%"
"13,21",2016,12%,0.42,1.55,0.43,"1,20","7,89","2,00","10,62","18,24","1,18",8%,"1,53",15%,9%,13%,"23,47","40,32","10,89%"
"23,90",2017,13%,0.20,1.98,0.62,"1,37","8,97","3,66","18,70","13,77","2,53",22%,"3,01",15%,11%,16%,"18,78","13,82","0,85%"
"11,35",2018,18%,0.32,1.20,0.63,"2,09","8,38","2,83","9,50","7,59","1,79",27%,"2,03",25%,16%,24%,"13,14","10,50","6,99%"
"22,66",2019,18%,0.53,2.19,0.90,"2,10","10,04","4,73","16,29","11,64","2,66",35%,"4,12",21%,12%,19%,"12,43","8,88","1,07%"
"17,21",2020,16%,1.07,3.41,2.60,"1,86","10,60","3,02","11,57","8,14","1,29",34%,"2,78",18%,8%,17%,"13,00","9,15","0,00%"
