P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY,tick
25.85,2008,0.04,0.03,2.11,0.0,0.48,5.36,2.33,49.12,15.17,1.55,0.07,1.0,0.09,0.06,0.03,508.38,157.01,0.0048,YDUQ3
29.98,2009,0.06,0.01,2.15,0.0,0.83,5.83,4.26,35.43,20.54,2.94,0.09,1.93,0.14,0.1,0.09,184.76,107.09,0.009300000000000001,YDUQ3
27.34,2010,0.08,0.02,2.81,1.19,0.99,7.13,3.79,36.3,24.01,2.75,0.09,2.18,0.14,0.1,0.1,163.95,108.42,0.0144,YDUQ3
20.78,2011,0.06,0.41,3.67,1.26,0.87,7.54,2.39,18.21,11.99,1.38,0.11,1.29,0.11,0.07,0.09,126.44,83.24,0.026099999999999998,YDUQ3
30.87,2012,0.08,0.39,2.65,0.73,1.35,8.61,4.85,22.99,16.38,2.77,0.15,2.48,0.16,0.09,0.14,69.1,49.21,0.0048,YDUQ3
24.34,2013,0.14,0.18,4.38,2.55,0.84,5.17,3.95,23.95,18.97,2.8,0.18,3.46,0.16,0.12,0.18,38.77,30.69,0.0132,YDUQ3
17.46,2014,0.18,0.25,3.71,1.8,1.36,7.64,3.12,17.51,14.02,2.12,0.22,3.1,0.18,0.12,0.15,23.55,18.86,0.0084,YDUQ3
8.85,2015,0.17,0.39,2.84,0.93,1.58,8.71,1.6,8.32,6.32,0.98,0.23,1.46,0.18,0.11,0.14,20.37,15.47,0.023700000000000002,YDUQ3
13.21,2016,0.12,0.42,1.55,0.43,1.2,7.89,2.0,10.62,18.24,1.18,0.08,1.53,0.15,0.09,0.13,23.47,40.32,0.10890000000000001,YDUQ3
23.9,2017,0.13,0.2,1.98,0.62,1.37,8.97,3.66,18.7,13.77,2.53,0.22,3.01,0.15,0.11,0.16,18.78,13.82,0.0085,YDUQ3
11.35,2018,0.18,0.32,1.2,0.63,2.09,8.38,2.83,9.5,7.59,1.79,0.27,2.03,0.25,0.16,0.24,13.14,10.5,0.0699,YDUQ3
22.66,2019,0.18,0.53,2.19,0.9,2.1,10.04,4.73,16.29,11.64,2.66,0.35,4.12,0.21,0.12,0.19,12.43,8.88,0.010700000000000001,YDUQ3
17.21,2020,0.16,1.07,3.41,2.6,1.86,10.6,3.02,11.57,8.14,1.29,0.34,2.78,0.18,0.08,0.17,13.0,9.15,0.0,YDUQ3
37.12,2007,0.22,0.23,3.58,0.0,0.15,1.86,3.05,30.54,27.56,2.02,0.29,7.99,0.08,0.05,0.07,50.24,45.33,0.0,JHSF3
4.6,2008,0.23,0.4,2.13,0.0,0.36,2.06,0.8,3.74,2.92,0.44,0.36,1.04,0.17,0.09,0.12,22.05,17.18,0.0242,JHSF3
10.66,2009,0.3,0.47,1.98,0.0,0.35,2.21,1.7,9.03,6.15,0.87,0.52,3.22,0.16,0.08,0.1,23.92,16.29,0.0613,JHSF3
6.94,2010,0.28,0.63,2.74,1.5,0.5,2.53,1.38,6.32,5.75,0.7,0.34,1.96,0.2,0.1,0.16,16.2,14.72,0.051399999999999994,JHSF3
10.58,2011,0.24,0.88,2.4,1.12,0.52,2.73,2.01,8.73,7.76,0.92,0.33,2.58,0.19,0.09,0.14,15.68,13.93,0.042,JHSF3
20.03,2012,0.21,1.28,3.67,1.38,0.43,3.02,2.85,14.04,13.0,1.13,0.32,4.13,0.14,0.06,0.1,18.41,17.04,0.022099999999999998,JHSF3
5.75,2013,0.48,0.98,3.38,1.2,0.74,5.13,0.83,3.39,3.31,0.35,0.83,2.75,0.14,0.06,0.12,9.85,9.62,0.0446,JHSF3
22.57,2014,0.07,1.08,1.77,0.49,0.1,5.3,0.44,4.32,4.13,0.17,0.41,1.69,0.02,0.01,0.04,25.05,23.96,0.0255,JHSF3
6.01,2015,0.18,0.72,1.13,0.11,0.21,5.08,0.25,1.46,1.4,0.1,0.76,1.06,0.04,0.02,0.07,12.07,11.6,0.0,JHSF3
-2.95,2016,-0.65,0.67,1.91,0.18,-0.48,4.22,0.33,-4.84,-5.34,0.16,-0.36,1.93,-0.11,-0.05,-0.03,-33.79,-37.28,0.0,JHSF3
-34.07,2017,-0.08,0.62,0.91,0.09,-0.05,4.08,0.43,4.87,4.51,0.21,0.57,2.59,-0.01,-0.01,0.04,26.96,25.0,0.0,JHSF3
5.16,2018,0.4,0.53,0.97,0.35,0.37,4.31,0.45,3.08,2.95,0.21,0.71,2.08,0.09,0.04,0.07,14.47,13.88,0.0,JHSF3
13.91,2019,0.51,0.39,2.17,1.25,0.51,4.79,1.49,7.46,7.16,0.78,1.0,7.15,0.11,0.06,0.12,7.31,7.01,0.0281,JHSF3
11.5,2020,0.49,0.38,2.1,1.02,0.52,4.76,1.25,6.23,5.96,0.65,0.94,5.58,0.11,0.06,0.11,7.47,7.15,0.013500000000000002,JHSF3
9.94,2000,0.02,0.98,1.49,0.0,0.23,2.46,0.93,3.63,0.0,0.32,0.0,0.23,0.09,0.03,0.1,57.89,0.0,0.0435,POMO4
4.92,2001,0.05,1.7,1.34,0.0,0.66,2.64,1.23,2.44,0.0,0.32,0.0,0.25,0.25,0.06,0.15,29.19,0.0,0.0,POMO4
7.81,2002,0.04,1.3,1.68,0.0,0.54,3.1,1.37,2.24,0.0,0.45,0.0,0.32,0.18,0.06,0.22,15.33,0.0,0.044800000000000006,POMO4
6.2,2003,0.07,1.07,1.53,0.0,0.77,3.44,1.39,6.92,0.0,0.5,0.0,0.42,0.22,0.08,0.08,41.36,0.0,0.075,POMO4
8.35,2004,0.06,0.89,1.72,0.0,0.82,3.86,1.77,6.99,0.0,0.65,0.0,0.48,0.21,0.08,0.1,29.09,0.0,0.049699999999999994,POMO4
7.14,2005,0.05,0.96,2.1,0.0,0.82,4.22,1.38,8.12,6.01,0.5,0.06,0.38,0.19,0.07,0.07,40.82,30.23,0.0653,POMO4
10.4,2006,0.07,0.97,2.06,0.0,0.57,2.43,2.45,9.93,8.17,0.92,0.09,0.76,0.24,0.09,0.1,24.9,20.49,0.0387,POMO4
11.43,2007,0.07,1.48,1.65,0.0,0.63,2.68,2.68,11.34,9.24,0.79,0.08,0.76,0.24,0.07,0.08,26.07,21.24,0.0458,POMO4
4.91,2008,0.06,1.7,1.53,0.0,0.65,3.12,1.02,3.13,2.58,0.29,0.11,0.28,0.21,0.06,0.1,17.66,14.6,0.0757,POMO4
10.41,2009,0.07,1.71,1.96,0.0,0.65,3.27,2.06,10.34,8.41,0.61,0.09,0.73,0.2,0.06,0.06,27.85,22.64,0.047400000000000005,POMO4
10.53,2010,0.1,1.41,2.1,0.77,0.66,2.16,3.24,8.57,7.83,1.03,0.13,1.05,0.31,0.1,0.18,9.47,8.66,0.0558,POMO4
9.2,2011,0.1,1.27,1.74,0.69,0.77,2.62,2.7,7.39,6.82,0.94,0.14,0.94,0.29,0.1,0.2,7.93,7.31,0.0536,POMO4
19.04,2012,0.08,1.02,1.49,0.35,0.68,2.93,4.4,14.71,13.11,1.64,0.12,1.51,0.23,0.09,0.15,9.24,8.24,0.0264,POMO4
15.49,2013,0.08,1.2,2.39,0.73,0.33,1.72,2.97,11.5,10.46,1.11,0.12,1.24,0.19,0.07,0.13,9.8,8.92,0.0235,POMO4
13.17,2014,0.07,1.26,2.59,0.86,0.25,1.88,1.77,11.14,9.67,0.67,0.09,0.87,0.13,0.05,0.08,15.19,13.18,0.048,POMO4
18.11,2015,0.03,1.33,1.88,0.83,0.1,2.09,0.89,9.87,7.76,0.33,0.08,0.6,0.05,0.02,0.05,23.77,18.68,0.0378,POMO4
11.32,2016,0.09,1.23,1.84,0.87,0.24,2.02,1.36,8.31,7.17,0.51,0.14,0.98,0.12,0.05,0.09,12.04,10.38,0.047400000000000005,POMO4
45.02,2017,0.03,1.01,1.74,0.71,0.09,2.08,1.91,49.89,30.84,0.78,0.04,1.28,0.04,0.02,0.02,48.77,30.16,0.005,POMO4
19.66,2018,0.05,0.91,1.67,0.52,0.21,2.31,1.77,12.54,10.43,0.73,0.09,0.9,0.09,0.04,0.08,12.6,10.47,0.027000000000000003,POMO4
20.0,2019,0.05,0.76,1.88,0.78,0.22,2.49,1.81,16.91,12.61,0.82,0.08,0.99,0.09,0.04,0.07,13.66,10.18,0.013300000000000001,POMO4
14.18,2020,0.05,0.81,1.71,0.54,0.21,2.61,1.13,9.63,7.79,0.5,0.08,0.64,0.08,0.04,0.07,13.42,10.86,0.0475,POMO4
26.54,2018,0.45,0.44,1.3,1.01,0.68,31.19,0.58,15.03,14.75,0.39,0.81,12.0,0.02,0.01,0.03,44.74,43.9,0.0,LOGG3
35.28,2019,0.73,0.3,6.71,3.9,0.92,28.92,1.12,18.42,17.53,0.83,1.48,25.91,0.03,0.02,0.05,18.37,17.47,0.0043,LOGG3
30.04,2020,0.74,0.29,4.99,2.91,0.96,29.01,0.99,16.27,15.4,0.73,1.45,22.3,0.03,0.02,0.05,18.31,17.33,0.0073,LOGG3
13.07,2019,0.08,1.18,1.35,0.43,1.9,15.87,1.57,7.07,5.42,0.56,0.2,1.06,0.12,0.04,0.09,9.75,7.48,0.0113,NEOE3
9.8,2020,0.08,1.3,1.39,0.42,1.92,16.66,1.13,5.25,4.03,0.39,0.2,0.81,0.12,0.04,0.08,10.29,7.9,0.024399999999999998,NEOE3
25.06,2007,0.32,0.11,4.46,0.0,0.84,11.18,1.89,171.23,181.54,1.34,0.04,8.03,0.08,0.05,0.01,67.83,71.92,0.0085,RDNI3
4.59,2008,0.21,0.32,2.69,0.0,1.71,12.35,0.64,5.02,4.94,0.37,0.19,0.95,0.14,0.08,0.07,7.07,6.95,0.0025,RDNI3
31.17,2009,0.06,0.75,1.7,0.0,0.58,12.8,1.4,19.84,17.43,0.6,0.11,1.87,0.05,0.02,0.03,18.57,16.31,0.0223,RDNI3
11.11,2010,0.1,1.33,1.81,0.26,1.5,13.94,1.2,7.87,7.28,0.37,0.16,1.15,0.11,0.03,0.05,9.7,8.97,0.0084,RDNI3
9.06,2011,0.08,1.2,3.23,0.73,1.23,14.83,0.75,4.45,4.23,0.26,0.17,0.72,0.08,0.03,0.08,6.82,6.49,0.031400000000000004,RDNI3
7.14,2012,0.11,0.61,2.41,0.39,1.77,16.18,0.78,4.85,4.59,0.35,0.17,0.76,0.11,0.05,0.08,4.85,4.58,0.0269,RDNI3
4.73,2013,0.18,0.81,2.57,0.73,2.77,20.13,0.65,3.93,3.69,0.29,0.22,0.83,0.14,0.06,0.1,4.13,3.89,0.0832,RDNI3
5.63,2014,0.11,0.64,2.42,0.68,1.74,20.71,0.47,5.42,4.65,0.22,0.13,0.61,0.08,0.04,0.05,6.8,5.83,0.053099999999999994,RDNI3
