TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA
AALR3;10,89;0,80;69,45;0,99;0,49;24,40;10,06;1,77;12,23;17,61;5,39;0,44;1,23;-91,02;-0,64;0,98;1,43;0,71;4,36;0,49;0,51;0,40;22,24;;9.190.647,37
ABCB4;14,74;7,12;6,57;0,80;0,07;4,20;2,22;8,62;25,47;25,47;;;0,57;110,69;-0,23;1,00;12,10;1,00;;0,08;0,92;0,12;5,50;8,66;12.310.552,40
ABEV3;13,46;3,64;19,89;2,94;1,86;57,74;28,59;20,26;14,09;13,44;-0,65;-0,14;4,03;36,09;-2,56;1,23;14,77;9,37;19,35;0,63;0,37;0,46;6,67;-0,28;395.449.207,87
ADHM3;2,49;;-3,03;-0,95;77,81;100,00;-13.548,48;-18.860,61;-4,21;-4,21;0,00;;570,63;-1,06;-85,99;0,00;31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;192.560,50
AFLT3;9,95;1,06;25,38;2,85;2,72;64,59;63,12;63,86;25,68;23,36;-2,32;-0,26;16,21;8,07;-4,20;23,21;11,23;10,71;10,08;0,95;0,05;0,17;2,20;11,01;78.720,17
AGRO3;19,95;4,66;10,11;1,12;0,64;30,53;22,22;18,67;8,49;12,23;3,74;0,49;1,89;4,54;-0,90;1,96;11,11;6,34;7,68;0,57;0,43;0,34;29,55;;3.625.998,53
AHEB3;25,00;;-8,41;9,85;0,80;28,11;-15,63;-16,95;-9,12;;1,10;-1,19;1,43;-12,05;-0,97;0,73;-117,08;-9,47;-108,02;0,08;0,92;0,56;-10,10;;14.402,80
AHEB5;25,00;;-8,41;9,85;0,80;28,11;-15,63;-16,95;-9,12;;1,10;-1,19;1,43;-12,05;-0,97;0,73;-117,08;-9,47;-108,02;0,08;0,92;0,56;-10,10;;2.892,33
AHEB6;30,99;;-10,43;12,21;0,99;28,11;-15,63;-16,95;-11,30;;1,10;-1,19;1,77;-14,94;-1,21;0,73;-117,08;-9,47;-108,02;0,08;0,92;0,56;-10,10;;14.330,50
ALPA3;22,88;0,22;56,26;4,70;2,56;51,19;8,15;6,80;46,90;50,98;-1,11;-0,11;3,82;9,95;-6,17;1,79;8,35;4,55;6,00;0,55;0,45;0,67;1,55;-1,97;39.088,86
ALPA4;28,08;0,20;69,05;5,77;3,14;51,19;8,15;6,80;57,56;50,98;-1,11;-0,11;4,69;12,21;-7,58;1,79;8,35;4,55;6,00;0,55;0,45;0,67;1,55;-1,97;59.103.410,47
